celegans_bin,smiles,proteinName,protein_dataset
0,CCC(=O)O,prot0,celegans
1,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,prot1,celegans
1,CC(CC1=CC2=C(C=C1)OCO2)NC,prot2,celegans
1,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,prot3,celegans
0,COC(=O)C1=CC=CC=C1C(=O)OC,prot4,celegans
0,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,prot6,celegans
1,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N[C@@H](N2)C(Cl)Cl,prot8,celegans
0,CC(C(C(=O)O)N)O,prot9,celegans
1,C(=N)(N)N,prot10,celegans
0,CCCCCCCCCCCCCCCC(=O)NCCO,prot11,celegans
0,CC(CC(=O)O)O,prot12,celegans
0,C(C(=O)[O-])F,prot13,celegans
0,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,prot14,celegans
1,C(CS)O,prot3,celegans
1,C=CC1=CC(=CC2=C1O/C(=C/3\C=CC(=O)C(=C3)F)/N2)O,prot15,celegans
1,C([C@@H](C(=O)O)N)OP(=O)(O)O,prot16,celegans
1,C([C@@H](C(=O)O)N)SO,prot17,celegans
0,C(CC(CC(=O)O)N)CN,prot18,celegans
0,C(CCl)N(CCCl)CCCl,prot20,celegans
0,COC1=C(C=CC(=C1)C=O)O,prot21,celegans
0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,prot22,celegans
0,CC(=O)NC(CCSC)C(=O)O,prot23,celegans
1,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,prot24,celegans
1,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,prot25,celegans
1,C1=CC(=CC=C1[N+](=O)[O-])O,prot26,celegans
0,C(CSCC(C(=O)O)N)C(C(=O)O)N,prot27,celegans
0,C1C2C(C(C(O2)N3C4=C(C(=NC=N4)N)N=C3Br)O)OP(=O)(O1)[O-],prot28,celegans
0,C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,prot29,celegans
0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,prot31,celegans
1,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O,prot1,celegans
0,CC(C)CC(C(=O)O)N,prot32,celegans
1,OP(=O)(O)OP(=O)(O)OP(=O)(O)O,prot34,celegans
0,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,prot37,celegans
0,C1CC1(C(=O)O)N,prot38,celegans
1,C(C(CO)O)O,prot40,celegans
0,CC(=O)OCC[N+](C)(C)C,prot41,celegans
1,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,prot42,celegans
0,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,prot43,celegans
0,C(CN)CO,prot44,celegans
0,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,prot45,celegans
0,CCC(C)C(=O)C(=O)O,prot32,celegans
1,C[C@@H](/C=C/C=C/C(C)C)C1=NC(=CS1)C2=NC(=CS2)/C=C/[C@@H]([C@@H](C)/C(=C\C(=O)N)/OC)OC,prot30,celegans
0,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot46,celegans
0,C=C(CC(=O)O)C(=O)O,prot47,celegans
1,C[C@@H](C1=CC(=CC=C1)Cl)OC2=CC=CC3=C2C(=NC(=N3)N)N,prot48,celegans
1,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,prot1,celegans
1,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,prot25,celegans
0,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O,prot49,celegans
0,C(C(=O)[O-])F,prot50,celegans
1,C(C(CO)O)O,prot51,celegans
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot25,celegans
0,C1=CN(C2=C1C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot52,celegans
1,CCOC(=O)C1=C(N(N=C1C)C2=CC=C(C=C2)OC)C,prot53,celegans
1,C1=CC=C(C=C1)C(CCN)OC2=CC=C(C=C2)C(F)(F)F,prot1,celegans
0,C(C=O)O,prot54,celegans
0,C=CCCCCCCCCC(=O)O,prot55,celegans
0,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,prot56,celegans
1,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C,prot25,celegans
0,CC1=CN(C(=O)NC1=O)C2CCC(O2)CO,prot57,celegans
0,C1CC(OC1)N2C=NC3=C2N=CN=C3N,prot58,celegans
0,CC(C)OP(=O)(OC(C)C)F,prot59,celegans
1,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,prot2,celegans
0,C1=CC(=C(C=C1N)O)C(=O)O,prot60,celegans
1,COC1=C(C=CC(=C1)C2=NNC(=O)C=C2)OC(F)F,prot53,celegans
0,C(CCN)CC(=O)O,prot61,celegans
0,C(CO)C(C(=O)O)N,prot62,celegans
1,C(CC(=O)O)[C@@H](C(=O)O)N,prot8,celegans
0,CC(CCO)O,prot13,celegans
0,CCCCCCCCCCC(=O)O,prot65,celegans
0,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,prot66,celegans
0,COC1=CC=C(C=C1)C(=O)O,prot67,celegans
0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,prot68,celegans
0,C1CC(=O)NC1C(=O)O,prot69,celegans
0,CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O,prot70,celegans
1,CCNC(=O)C1=C(/C(=C/2\C=C(C(=CC2=O)O)Cl)/ON1)C3=CC=C(C=C3)OC,prot71,celegans
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot72,celegans
1,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,prot3,celegans
1,CCOC(=O)C1=C(N(N=C1C)C2=CC(=CC=C2)[N+](=O)[O-])C,prot53,celegans
1,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,prot25,celegans
1,C(C(CO)O)O,prot74,celegans
1,C(C(CO)O)O,prot75,celegans
0,C(Br)(Br)Br,prot76,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(CP(=O)(O)O)O)O)O,prot77,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)C=C[C@]34C,prot78,celegans
1,C1=CC(=C(C=C1C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N)C(F)(F)F)S(=O)(=O)N,prot79,celegans
0,C1CC(=O)OC1,prot80,celegans
1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,prot15,celegans
1,C1COCCO1,prot83,celegans
1,C1CCC(CC1)C2=C3C(=NN2)C4=C(C3=O)C(=CC=C4)NC(=O)CN5CCC(CC5)CN,prot25,celegans
0,C1=CC=C2C(=C1)C3=CC=CC=C3C4=CC=CC=C24,prot84,celegans
1,C[C@@H](CC(C)(C)O)O,prot85,celegans
0,C(C1C(C(C(C(=O)O1)O)O)O)O,prot86,celegans
0,CC(C)CO,prot87,celegans
1,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,prot88,celegans
0,CC(C)O,prot89,celegans
1,C(C(CO)O)O,prot90,celegans
0,C(CN)CO,prot91,celegans
1,C(CC(=O)O)[C@@H](C(=O)O)N,prot92,celegans
0,CCC(=O)C(=O)O,prot93,celegans
0,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,prot94,celegans
0,CC(C(C)O)O,prot95,celegans
0,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)Cl,prot96,celegans
0,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,prot97,celegans
0,C(CO)C(C(=O)O)N,prot98,celegans
0,C(CO)C(C(=O)O)N,prot99,celegans
1,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,prot1,celegans
0,C(C(C(C(C(C(=O)O)O)O)O)O)O,prot12,celegans
0,CC1(C2CCC(O1)(CC2)C)C,prot100,celegans
0,C1C[C@@H](NC1)C(=O)O,prot101,celegans
0,CC(C)C(C(=O)O)NC,prot102,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,prot103,celegans
1,C(CO)C(CCO)(CCO)N,prot25,celegans
0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,prot104,celegans
0,CCCCCCO,prot107,celegans
1,C1CN=C(N1)NC2=C(C=C(C=C2Cl)N)Cl,prot1,celegans
1,CC1=CC2=C(S1)C3=C(N2C)C(=O)N(N=C3)CC4=CC=CC=C4F,prot108,celegans
0,CC(C)C(CC(=O)O)(C(=O)O)O,prot109,celegans
1,C([C@@H](C(=O)O)N)S,prot111,celegans
1,C(C(CO)O)O,prot112,celegans
1,CCCCCCCC,prot113,celegans
1,CN1CCN(CC1)CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C,prot1,celegans
0,C([C@H](C([C@H](CO)O)O)O)O,prot114,celegans
0,C(C(C(C(C(=O)CO)O)O)O)O,prot115,celegans
1,C1=CC(=CC=C1CP(=O)(C[C@@H](CCC(=O)O)C(=O)O)O)I,prot92,celegans
0,C(Br)(Br)Br,prot116,celegans
0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,prot117,celegans
1,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,prot118,celegans
1,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,prot1,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot119,celegans
0,CC(C)C1=CC=CC=C1,prot120,celegans
1,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,prot118,celegans
1,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,prot1,celegans
0,CCCC(CCC)C(=O)O,prot121,celegans
0,C(C=O)O,prot0,celegans
0,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,prot123,celegans
0,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,prot125,celegans
1,C(C(CO)O)O,prot127,celegans
0,C1=CC=C(C=C1)CC(C(=O)O)N,prot128,celegans
1,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O,prot129,celegans
1,CC1=C(N=C2C=CC(=CC2=C1C(=O)O)F)C3=CC=C(C=C3)C4=CC=CC=C4F,prot130,celegans
1,C(CSSC[C@@H](C(=O)O)N)O,prot131,celegans
1,C1=C(C(=O)NC(=O)N1C[C@@H](C(=O)O)N)F,prot8,celegans
0,C1=CC(=CC=C1C(C(=O)O)O)O,prot132,celegans
0,C(C1C(C(C(O1)O)O)O)O,prot133,celegans
1,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O,prot1,celegans
0,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,prot1,celegans
0,C1CCC(CC1)N,prot134,celegans
0,CCCCCCCCCCCCCCCCO,prot135,celegans
1,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,prot2,celegans
0,CC1=CN(C(=O)NC1=O)C2CCC(O2)CO,prot136,celegans
0,C1CC(OC1)N2C=NC3=C2N=CN=C3N,prot137,celegans
0,CC(C)C(C(C)(C)CO)O,prot139,celegans
0,C1=CC=C2C(=C1)C=CC=C2NC(=O)CF,prot140,celegans
0,C1CC(OC1)N2C=NC3=C2N=CN=C3N,prot141,celegans
0,C(C1C(C(C(C(O1)O)O)O)O)O,prot142,celegans
0,C(C=O)Cl,prot143,celegans
1,C(CS)O,prot25,celegans
0,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,prot145,celegans
1,CCCCCCCCCCCCCCCC(=O)O,prot146,celegans
1,CCCCCCCCCCCCCCCC(=O)O,prot147,celegans
0,C1CC(NC1)C(=O)O,prot148,celegans
0,C1CN[C@@H]1C(=O)O,prot149,celegans
1,C[C@@H](C1=CC=CC=C1)NC2=NC=CC(=N2)C3=C(N=C(N3C)C4CCNCC4)C5=CC(=CC=C5)C(F)(F)F,prot25,celegans
0,CCC(C)C(=O)O,prot150,celegans
0,C(CO)O,prot46,celegans
