human_bin,smiles,proteinName,protein_dataset
0,CC[C@@]1(C[C@@H]2C3=CC(=C(C=C3CCN2C[C@H]1CC(C)C)OC)OC)O,prot0,human
1,C1COCCO1,prot1,human
0,CCCC(=O)C1=CN=CC=C1,prot2,human
1,CCN[C@H]1CN(S(=O)(=O)C2=C1C=C(S2)S(=O)(=O)N)CCCOC,prot3,human
0,C[C@H](C[C@@H](C(=O)O)N)C(=O)O,prot4,human
1,CC(C)(CC1=CC=C(C=C1)Cl)N,prot5,human
0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,prot6,human
0,C1CC(C1)O,prot7,human
1,C(C(CO)O)O,prot8,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot9,human
0,C(CN)CO,prot10,human
0,C[C@@H]1CCO[C@H](/C=C/C=C\C(=O)O[C@@H]2C[C@@H]3[C@]4([C@]2([C@]5(CCC(=C[C@H]5O3)C)COC(=O)[C@H]1O)C)CO4)[C@@H](C)O,prot11,human
1,C1CCC(CC1)COC2=NC3=NC=NN3C(=C2)NC4=CC=C(C=C4)S(=O)(=O)N,prot9,human
1,C([C@@H](C(=O)O)N)S(=O)(=O)O,prot12,human
0,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,prot14,human
0,C([C@@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,prot15,human
1,C1=CC=C2C(=C1)C=CC(=O)N2,prot3,human
1,C1[C@@H]([C@H]([C@@H](CN1)O)O)CO,prot17,human
1,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,prot18,human
0,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@H](O3)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O)CO)O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)CO)O)O)O)O,prot19,human
0,CCCCC[C@@H](/C=C/C=C\CCCCCCCC(=O)O)O,prot20,human
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,prot22,human
0,C[C@]12CC[C@H]3[C@@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,prot23,human
0,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CCCC[C@H]34)C)O,prot24,human
0,C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C,prot27,human
1,CC(=O)OCC[N+](C)(C)C,prot28,human
1,CN(C)S(=O)(=O)C1=CC\2=C(C=C1)NC(=O)/C2=C\C3=CC4=C(N3)CCCC4,prot29,human
0,CC(C)C[C@@](C)(C(=O)O)N,prot30,human
1,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,prot28,human
1,CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C,prot28,human
1,C(=O)C(=O)O,prot33,human
0,C1=CC(=C[N+](=C1)[C@@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,prot34,human
1,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,prot3,human
0,CCC1=C(C(=NC1=O)/C=C\2/C(=C(/C(=C/C3=C(C(=C(N3)/C=C\4/C(=C\C)/[C@H](C(=O)N4)C)C)CCC(=O)O)/N2)CCC(=O)O)C)C,prot36,human
0,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,prot37,human
1,C1CC1(C(=O)O)N,prot38,human
1,CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@H](C(=O)NC)C(C)(C)C,prot40,human
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot41,human
0,C1=CC=C(C=C1)CNC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O,prot42,human
0,C(CCC(=O)O)CC(=O)O,prot43,human
1,C([C@@H](C(=O)O)N)C(=O)O,prot44,human
0,C([C@H]([C@H]([C@H]([C@H](C=O)O)O)O)O)O,prot45,human
0,C([C@@H]([C@@H]([C@@H](C=O)O)O)O)O,prot48,human
1,C(C(CO)O)O,prot49,human
1,C(C(CO)O)O,prot50,human
0,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=S)(O)O)O)O,prot52,human
1,C[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,prot28,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot53,human
1,C1[C@@H]([C@H](CSS1)O)O,prot54,human
1,C(CC(=O)O)C(=O)C(=O)O,prot55,human
0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,prot56,human
0,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CCC6C5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,prot57,human
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot58,human
1,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,prot28,human
0,C([C@@H](C(=O)[O-])O)[NH3+],prot60,human
0,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)N2CCCC2C(=O)NC(CC3=CC=CC=C3)C(=O)O)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(C(C)C)NC(=O)C(CCCN=C(N)N)NC(=O)C(CC(=O)O)N,prot61,human
1,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot62,human
0,CC(C)(C)C1CCC(CC1)CC2=C(C3=CC=CC=C3C(=O)C2=O)O,prot63,human
0,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,prot65,human
0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)Cl)C,prot66,human
0,CC(C)[C@H](C(=O)NS(=O)(=O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O)N,prot67,human
0,C/C(=C\CCC1[C@]2(CCCC(C2CC[C@@]1(C)O)(C)C)C)/CC[C@@H]3C(=C)CCCC3(C)C,prot68,human
1,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,prot69,human
0,F[Cu],prot70,human
0,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@]4([C@H]([C@]3(C)CO)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O)C)C)C)O)O)O)O)O,prot71,human
0,C#C,prot72,human
1,C(C(CO)O)O,prot73,human
