latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
84,adagrad,0.012233128918089326,0.21291818884704686,-0.035553060472011566
84,rmsprop,0.02728565657493972,0.031550824736831906,-0.06310484558343887
10,rmsprop,0.057559677170338865,0.03712467943054619,-0.221493661403656
100,rmsprop,0.03261700858264405,0.005646409838523546,-0.619530439376831
94,rmsprop,0.0017909937393907646,0.012536971491294213,-0.621831476688385
26,rmsprop,0.00018603292698848446,0.006715836063160645,-0.6224350333213806
10,adagrad,0.07353681033938797,0.050288597447995326,-0.6499826312065125
10,rmsprop,0.004957440015367984,0.005705563226421966,-0.6846257448196411
83,adagrad,0.001640703880255046,0.21239731492860167,-0.6967348456382751
26,rmsprop,0.0001749536992867406,0.0063889725824141,-0.7258365750312805
88,adagrad,0.878776707436084,0.0961117407092772,-0.785973846912384
100,adagrad,1.0,0.07837159853823573,-0.8437685966491699
77,adagrad,0.0095880457617894,0.05507654180540209,-0.8856692910194397
10,adagrad,0.0001,0.0296679758385089,-0.9013872742652893
47,adagrad,1.0,0.12307928380910034,-0.9143736362457275
70,rmsprop,0.2558494020380986,0.004397758760526298,-0.9450098276138306
100,rmsprop,1.0,0.010814445522197801,-0.9637985229492188
81,rmsprop,1.0,0.012787143377953683,-0.9821354746818542
10,adagrad,1.0,0.05818592032366886,-0.9918209910392761
100,rmsprop,1.0,0.032765758598954184,-0.9945750832557678
100,adagrad,1.0,0.36246794520330006,-0.9962773323059082
10,rmsprop,1.0,0.011812582951263265,-0.99776691198349
10,adagrad,1.0,0.160789581815512,-0.998296320438385
10,adagrad,0.5680136769730137,0.269164212330578,-0.9987695217132568
87,sgd,1.0,0.183356432957668,-0.9991822242736816
100,sgd,1.0,0.0001,-0.9994040131568909
100,adagrad,0.3603338863307735,0.6502803064600503,-0.9995671510696411
36,adagrad,1.0,0.6484542682325215,-0.9996845126152039
56,sgd,1.0,0.0016805715225238684,-0.9998099207878113
10,adagrad,0.789539682420706,1.0,-0.9998831152915955
10,sgd,1.0,0.00227129678307074,-0.9999026656150818
15,adagrad,1.0,1.0,-0.9999469518661499
14,adagrad,1.0,1.0,-0.9999762177467346
10,sgd,1.0,0.003280786162625017,-0.9999766945838928
10,sgd,1.0,0.0024321733392166853,-0.9999777674674988
10,adagrad,1.0,0.6227253303182053,-0.9999867081642151
14,adagrad,1.0,1.0,-0.9999991059303284
10,sgd,1.0,0.0019489774741623445,-1.0000059604644775
10,sgd,1.0,0.020621415665994295,-1.0000100135803223
10,sgd,1.0,0.003290475325880546,-1.000012993812561
34,sgd,1.0,0.12082402003721356,-1.0000791549682617
61,sgd,1.0,0.42398849218705453,-1.0070383548736572
87,sgd,1.0,0.10316693701348964,-1.0085675716400146
49,sgd,1.0,0.14711847242979206,-1.059066891670227
10,sgd,0.0001,0.0014959427212849162,-1.0929207801818848
97,rmsprop,0.023713038790546023,0.004522788056969157,-1.1723541021347046
75,adagrad,0.011034622753622516,0.04243151279013584,-1.221010446548462
10,adadelta,0.015616563351940487,1.0,-1.3218576908111572
10,adadelta,0.002879885669324403,0.8530839132262463,-1.34670889377594
77,sgd,0.01893128490209615,0.0009744981615354988,-1.422721266746521
100,adagrad,0.13948151569161363,0.032823866618593794,-1.4259811639785767
16,rmsprop,0.000390401542908453,0.02624907617897792,-1.5091174840927124
10,adam,0.0001,0.04891551757325145,-1.5546680688858032
24,rmsprop,0.00010000204443311303,0.015902609823390566,-1.6312758922576904
15,adamax,0.023564708574338584,0.048597775414579956,-1.6701972484588623
10,adam,0.0001,0.07343238613686404,-1.6953015327453613
