latent_dim,optimizer,optimizer__global__weight_decay,optimizer__global__lr,score
100,adagrad,1.0,0.08012706354767583,-0.09206308424472809
10,adagrad,1.0,0.04198121192223102,-0.13428297638893127
11,sgd,0.031772072297212246,0.002868482249309422,-0.1411711871623993
100,sgd,1.0,0.0001,-0.14118275046348572
38,sgd,1.0,0.0011018377907739167,-0.14118312299251556
13,adagrad,1.0,0.4920323237057756,-0.14118675887584686
10,sgd,0.43132296581864826,0.0002960890875285962,-0.141187846660614
10,sgd,1.0,0.015266241542635048,-0.14118804037570953
10,sgd,1.0,0.0001,-0.14118839800357819
10,sgd,1.0,0.004097806622904765,-0.14118856191635132
10,sgd,1.0,1.0,-0.1411886215209961
10,sgd,1.0,0.0017586819775104218,-0.1411886215209961
10,sgd,1.0,1.0,-0.14118865132331848
10,sgd,1.0,1.0,-0.14118866622447968
10,sgd,1.0,1.0,-0.14118875563144684
22,sgd,1.0,1.0,-0.141189306974411
100,adagrad,0.861824859548179,1.0,-0.14119018614292145
10,sgd,1.0,0.027852610766235332,-0.1411903202533722
10,rmsprop,1.0,0.05575914324309926,-0.14119045436382294
100,sgd,1.0,1.0,-0.14119113981723785
10,adagrad,1.0,0.5683849323525065,-0.14119155704975128
59,rmsprop,0.6355112157286962,0.08016498576024719,-0.14119881391525269
100,sgd,0.11645237645385438,0.07085774149740151,-0.14121758937835693
52,rmsprop,1.0,0.02377690304671182,-0.14122508466243744
11,sgd,0.05478043783355344,0.1720449777572138,-0.14127321541309357
69,sgd,0.18030500253159615,1.0,-0.1415081024169922
13,sgd,0.030852925974203103,0.4388516664760231,-0.14186440408229828
100,sgd,1.0,0.02526822706355395,-0.14206252992153168
100,sgd,1.0,0.025104009033439612,-0.14246751368045807
16,sgd,0.014700706111417411,0.0005107172954355351,-0.14291004836559296
10,sgd,0.013694485918329096,1.0,-0.1431073397397995
80,rmsprop,1.0,0.008106373431707116,-0.14346306025981903
100,sgd,0.04134520976588997,0.0001,-0.14350537955760956
10,sgd,0.010002527174094902,0.704165514814575,-0.1443534940481186
56,sgd,1.0,0.42834921263135,-0.1486106663942337
100,rmsprop,0.7664990153958348,0.00707743418802248,-0.1520918309688568
10,sgd,0.0003408233932209964,0.0001,-0.16648097336292267
10,sgd,0.0001,0.00026843097207260243,-0.16867929697036743
10,adadelta,1.0,1.0,-0.17537130415439606
10,sgd,0.0004452678404943602,1.0,-0.17614826560020447
10,adadelta,1.0,1.0,-0.18010994791984558
10,sgd,0.0001,0.0056587349427786645,-0.1811327040195465
