attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
1,1,[441],256,1,"[319, 272]",5,0.1785621342287216,0.40567728591403596,7,256,128,128,adagrad,0.002513574335229891,0.0029542975964489365,adam,0.0015563326652402326,0.18799235233483247,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 35, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 296, 'fingerprint_size': 2238, 'num_layers': 3}",0.18107698862828894
4,1,[307],256,1,"[1006, 664]",5,0.21402156593122665,0.12990768627220542,38,256,128,128,adam,0.019609152819671644,0.00034822522000430527,adadelta,0.0020895105399418245,0.015530163183203414,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 14, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 427, 'fingerprint_size': 2238, 'num_layers': 4}",-0.03605655256553859
2,1,"[512, 367]",256,1,"[350, 182]",5,0.26774888416659537,0.10636414438451079,36,256,128,128,rmsprop,0.0021055084921426373,0.0037305188559998413,adamax,0.048895522678236755,0.05972089418645111,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 21, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 182, 'fingerprint_size': 2238, 'num_layers': 3}",-0.09560569900744041
1,1,[170],256,1,"[432, 278]",5,0.4650610745665522,0.44445930502294073,28,256,128,128,adagrad,0.006331429539178655,0.05948353610938611,adam,0.0019733113391381184,0.09111117979100654,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 13, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 300, 'fingerprint_size': 2238, 'num_layers': 2}",-0.10376231075910196
1,1,[272],256,1,"[408, 199]",5,0.10419279310064011,0.11276886001566286,49,256,128,128,adamax,0.05310802116682135,0.0022762017785906406,sgd,0.0002617563203863744,0.00010319737009125673,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 49, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 66, 'fingerprint_size': 2238, 'num_layers': 4}",-0.17282070475770653
8,1,"[757, 773]",256,1,"[571, 795]",5,0.4498130038398932,0.3239597661649485,45,256,128,128,adadelta,0.023148091142529626,0.008246145143841144,adadelta,0.0009686818849363273,0.14021278995412478,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 25, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 432, 'fingerprint_size': 2238, 'num_layers': 2}",-0.1846586550453797
4,1,[278],256,1,"[505, 1032]",5,0.1561805944537759,0.39936464191778087,51,256,128,128,adamax,0.2412533511962908,0.01677882385638275,sgd,0.3522883354926694,0.001809955101516334,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 30, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 483, 'fingerprint_size': 2238, 'num_layers': 1}",-0.2939036132804015
4,1,[970],256,1,"[497, 1035]",5,0.4174279993189921,0.23732204062080048,22,256,128,128,adagrad,0.03111883251747105,0.042451130604226305,adam,0.004176343708829258,0.04667056589451603,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 25, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 371, 'fingerprint_size': 2238, 'num_layers': 3}",-0.32956260242027097
4,1,[737],256,1,"[309, 622]",5,0.30903644256335405,0.2950209923811513,20,256,128,128,adagrad,0.8666882924190111,0.031166914146507855,adagrad,0.43640687760111796,0.7080728662643115,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 31, 'pcnn_num_layers': 1}",{'dim': 1024},{},{},"{'dim': 239, 'fingerprint_size': 2238, 'num_layers': 4}",-0.3661709898025469
8,1,"[534, 299]",256,1,"[984, 230]",5,0.1687711248191191,0.301221795779576,7,256,128,128,adam,0.5138712200670563,0.0035187266962988612,adadelta,0.020630795202455813,0.0002855501577780601,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 22, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 458, 'fingerprint_size': 2238, 'num_layers': 2}",-0.37714022973582517
