attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
8,1,"[812, 229]",256,1,"[562, 764]",5,0.5,0.24033841212775675,22,256,128,128,adam,0.0001,0.00030623763187248625,adagrad,1.0,0.00943744253053932,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 156},{},0.35691297964690755
16,1,[911],256,1,"[146, 314]",5,0.39681052157505947,0.4031508092599406,62,256,128,128,adagrad,0.0001,0.00787958103480546,adam,0.009304718844988649,0.0012979598897631594,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 488},{},0.3108096268214527
1,1,"[1048, 778]",256,1,"[100, 309]",5,0.4534185839685694,0.3274395634585593,13,256,128,128,adam,0.0001,0.00026603336609338346,adadelta,0.7167438574011227,0.04318252390055119,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 105},{},0.2951812731798752
16,1,"[401, 140]",256,1,"[185, 213]",5,0.28252219011755036,0.13927454377618026,58,256,128,128,adadelta,0.0007564977829714783,0.014323159594417769,adadelta,0.23055630668774946,0.2238561133995358,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 508},{},0.28539878335540636
8,1,"[946, 98]",256,1,"[101, 259]",5,0.1590263170570455,0.14338048598145223,38,256,128,128,rmsprop,0.001883505329219285,0.00030353454290501483,rmsprop,0.000237432728126761,0.7335599090415632,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 498},{},0.2838067019036891
8,1,[867],256,1,"[851, 969]",5,0.4792122141489642,0.3127787156627153,56,256,128,128,adamax,0.001658549350252134,0.0009377017054944044,adam,0.08178316215457487,0.0008439285756638567,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 150},{},0.28256786931435546
16,1,"[190, 303]",256,1,"[1006, 253]",5,0.18790336046879685,0.2723614450899666,59,256,128,128,adam,0.006057595151408208,0.00014330326794927484,adadelta,0.21277794220813878,0.9339527868997687,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 487},{},0.2816217912654546
1,2,"[366, 125]",256,1,"[705, 334]",5,0.20409699887055774,0.11738173219627003,14,256,128,128,adadelta,0.0043926813099176044,0.3182462870617345,rmsprop,0.06650086828615168,0.3387330803222008,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 92},{},0.2708638628582829
8,1,"[752, 405]",256,1,"[813, 299]",5,0.2558144996112306,0.1374894440468014,20,256,128,128,rmsprop,0.0016401164157678503,0.0006374842567822085,sgd,0.24560966960255787,0.00019049715052366976,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 350},{},0.25997542723167943
4,1,"[997, 534]",256,1,"[159, 160]",5,0.119537553229106,0.20090544437169172,27,256,128,128,adadelta,0.0001087131117623885,0.4443467370634134,rmsprop,0.00024702341990494954,0.007862909092651341,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 279},{},0.25776262683772794
8,1,"[186, 489]",256,1,"[569, 496]",5,0.240966344313161,0.3718782622749831,24,256,128,128,adam,0.006997868843071853,0.00039551581373878115,adamax,0.02176442347994292,0.005227712608798183,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 85},{},0.2182960879949674
2,1,"[620, 64]",256,1,"[100, 1048]",5,0.4841605180860822,0.5,64,256,128,128,adam,0.0001,0.0003504395607232681,adamax,1.0,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 422},{},0.14601736282738526
1,1,[566],256,1,"[374, 320]",5,0.4870671714604823,0.21132753528408207,18,256,128,128,sgd,0.019066309635928366,0.004695762862238595,adadelta,0.17864048187018258,0.0014422482177651355,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 385},{},0.1380721356985007
1,1,"[1020, 82]",256,1,"[675, 557]",5,0.1402571676743161,0.2022698912374851,43,256,128,128,adagrad,0.8455707385791948,0.00021649492152134967,sgd,0.026473264005741643,0.00010882582198016587,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 266},{},0.1269540059375383
8,1,"[596, 694]",256,1,"[659, 1040]",5,0.4138586649725232,0.16236364497169078,34,256,128,128,adagrad,0.02404301534353208,0.0025866273799335002,adagrad,0.002282645324243995,0.00045766591005104646,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 144},{},0.11470246077413493
8,2,"[384, 670]",256,1,"[919, 780]",5,0.47397469440332796,0.432805539358324,35,256,128,128,rmsprop,0.018297382290843222,0.0003202272167726053,rmsprop,0.5955495990382936,0.6968253526982257,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 425},{},0.11097683593749492
16,1,"[64, 182]",256,1,"[145, 965]",5,0.4792103125406145,0.2126358894879945,37,256,128,128,sgd,0.00239415481560115,0.0030131351804714174,adadelta,0.06257629722342559,0.16476600062371963,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 417},{},0.10761234836228592
8,1,"[524, 329]",256,1,"[888, 623]",5,0.12803259841305167,0.2889900152001851,49,256,128,128,adam,0.0071985663751058335,0.0008345478324421039,adagrad,0.0006827681387086189,0.000157476944267626,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 296},{},0.09810530483728626
1,2,"[98, 137]",256,1,"[364, 525]",5,0.1814887549369347,0.28899711430465735,28,256,128,128,adagrad,0.004278859288285461,0.006475863654689354,adadelta,0.04592562938857183,0.0011246556101210058,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 342},{},0.08586420659916161
1,1,[446],256,1,"[653, 1026]",5,0.19703118363606079,0.1816253394812532,23,256,128,128,sgd,0.016256676592161286,0.0016149768072938153,rmsprop,0.0021459990763887838,0.01619873834335154,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 279},{},0.06441400711160801
1,1,[832],256,1,"[649, 485]",5,0.42092323990173297,0.27435609727804483,10,256,128,128,adagrad,0.0040472270891500515,0.008737199891725752,adagrad,0.05314010037107466,0.0005838205048473299,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 152},{},0.056814455711190835
8,1,"[64, 64]",256,1,"[100, 1048]",5,0.5,0.1,4,256,128,128,adam,0.0001,0.0001,adamax,1.0,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 64},{},0.04513561373653287
16,1,"[516, 313]",256,1,"[552, 782]",5,0.33369494658517307,0.4687233795318232,60,256,128,128,adam,0.45891526794686416,0.00015461519848337544,adadelta,0.9375251602320285,0.6653420813606182,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 407},{},0.033223120274119264
8,1,"[303, 1048]",256,1,"[100, 879]",5,0.3526091167709863,0.5,64,256,128,128,adam,0.00036224587186670386,0.0001,rmsprop,0.026642627078851244,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 122},{},0.032422287298665024
1,1,[1009],256,1,"[208, 346]",5,0.3183963252239397,0.1636264243698011,28,256,128,128,adadelta,0.003026912370626348,0.002011438591263163,adadelta,0.16016099726491495,0.3884277034973537,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 298},{},0.03192656097167411
4,2,"[445, 233]",256,1,"[861, 976]",5,0.3458876956420699,0.2149062409424775,22,256,128,128,adadelta,0.000123326276471854,0.33057367724986825,rmsprop,0.008328540349219291,0.7216873660474642,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 280},{},0.03055534028282735
16,1,[351],256,1,"[385, 273]",5,0.27609136171570403,0.3123958897400943,61,256,128,128,adagrad,0.04946352856694378,0.0003067823813018999,adam,0.0012526187050480074,0.01911523069203901,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 360},{},0.029702678925635356
8,1,"[136, 156]",256,1,"[679, 448]",5,0.2123518263066168,0.12522138716122103,55,256,128,128,adamax,0.42644919218870736,0.0001078067540744127,adadelta,0.00043694353054920095,0.6214393831348858,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 489},{},0.014093823550455114
8,1,"[64, 977]",256,1,"[300, 548]",5,0.22226291723859243,0.2804078380255124,37,256,128,128,adam,0.0035269558627724408,0.0001,rmsprop,0.0012306412799142808,0.000719837740677906,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 87},{},0.006914991292499992
1,1,[754],256,1,"[299, 973]",5,0.5,0.15418974277707584,7,256,128,128,sgd,0.0001,0.0012869182755854709,adadelta,0.02618187753564354,0.00022634465294697648,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 156},{},0.003240657233998975
16,1,"[920, 658]",256,1,"[789, 933]",5,0.10736898534808192,0.13130137257206043,17,256,128,128,sgd,0.9882651305656668,0.003257422545046357,adamax,0.13493554823223117,0.018835263522664014,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{'dim': 205},{},-0.023020061344268455
