attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
8,1,"[870, 913]",256,1,"[417, 215]",5,0.22861355974758146,0.24448409680678868,37,256,128,128,adadelta,0.000612974508988688,0.07911076213715847,adagrad,0.04320117070442801,0.00011854050858447098,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 261, 'fingerprint_size': 2238, 'num_layers': 2}",0.31587947954042217
1,1,[730],256,1,"[273, 517]",5,0.3123958897400943,0.47808156578584027,35,256,128,128,adamax,0.0003067823813018999,0.0021406864755936952,adam,0.01911523069203901,0.04370014128775638,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 190, 'fingerprint_size': 2238, 'num_layers': 1}",0.2477192463889537
4,1,[795],256,1,"[540, 318]",5,0.3032990150269157,0.18342732466168565,7,256,128,128,adagrad,0.0004887799795976465,0.0038481602576623986,sgd,0.010945638802254014,0.000256177468757563,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 193, 'fingerprint_size': 2238, 'num_layers': 2}",0.2469377370146439
16,1,[416],256,1,"[559, 596]",5,0.39096690254885125,0.3017983939845484,25,256,128,128,adagrad,0.0009121601297557372,0.0062884092349165125,sgd,0.0009283159835270473,0.12990203575600923,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 136, 'fingerprint_size': 2238, 'num_layers': 3}",0.21240606739556728
16,1,[891],256,1,"[129, 745]",5,0.2661943940171756,0.3023385425351395,26,256,128,128,adagrad,0.0001375523635925631,0.000667372977288211,adamax,0.9013945196559695,0.0002744564701929855,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 410, 'fingerprint_size': 2238, 'num_layers': 3}",0.20975391550027161
4,2,"[1005, 321]",256,1,"[319, 606]",5,0.47997525541305597,0.29722383741789843,36,256,128,128,adamax,0.00015183885296158827,0.00036296477256797554,adamax,0.00013158471153484037,0.3408018183470354,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 306, 'fingerprint_size': 2238, 'num_layers': 2}",0.2090613383195555
1,1,[535],256,1,"[898, 349]",5,0.11425835460404217,0.25069247157024355,30,256,128,128,adagrad,0.0003555693489462494,0.00029885989343764386,adadelta,0.005187820077484165,0.0009745939924663583,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 386, 'fingerprint_size': 2238, 'num_layers': 3}",0.1678214900207295
4,2,"[92, 1042]",256,1,"[537, 892]",5,0.47573644688326955,0.15994488854640443,43,256,128,128,adamax,0.003217372195878622,0.00014886829165025985,adam,0.0023536713933461693,0.014349874283458075,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 441, 'fingerprint_size': 2238, 'num_layers': 2}",0.11104601905669423
16,1,"[870, 64]",256,1,"[1048, 100]",5,0.2927097698079498,0.1,64,256,128,128,adagrad,0.0001,0.0001,adadelta,0.00010478214205363119,0.0011941416572180128,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 64, 'fingerprint_size': 2238, 'num_layers': 1}",0.08300978754241577
16,2,"[854, 155]",256,1,"[591, 920]",5,0.4316587629468568,0.4318413437576736,20,256,128,128,sgd,0.048096354537337724,0.023564708574338584,adamax,0.004437634363159825,0.0006168841218164037,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 194, 'fingerprint_size': 2238, 'num_layers': 1}",0.0681329094912829
1,1,[266],256,1,"[1032, 635]",5,0.1716161078752838,0.485156552322615,55,256,128,128,adagrad,0.003502530977910813,0.0015992947645198346,rmsprop,0.0006997572208981966,0.004200059658642742,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 424, 'fingerprint_size': 2238, 'num_layers': 2}",0.06779363731538313
1,2,[536],256,1,"[231, 751]",5,0.11317562298610154,0.46224260863713196,18,256,128,128,adagrad,0.001109245573214703,0.0005287481037566202,adadelta,0.00792237901126721,0.0010044473413886234,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 442, 'fingerprint_size': 2238, 'num_layers': 4}",0.050894608748585576
16,1,[350],256,1,"[968, 212]",5,0.14073433395671556,0.3081414662127243,17,256,128,128,adagrad,0.002648305116956454,0.00013980577972522507,rmsprop,0.3538601986047778,0.09657085342479686,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 500, 'fingerprint_size': 2238, 'num_layers': 2}",0.047799597144765206
16,1,[221],256,1,"[1043, 687]",5,0.49158488941322265,0.4263661050255908,27,256,128,128,adagrad,0.7247769696673221,0.0003718683159479514,adam,0.002913332696748677,0.0005710753915944984,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 371, 'fingerprint_size': 2238, 'num_layers': 1}",0.005217828761942994
16,1,[85],256,1,"[258, 926]",5,0.17334024158526534,0.457098373030573,20,256,128,128,adam,0.2123505508490746,0.0001748688762451926,adamax,0.5672859874085117,0.0001731826773220011,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 185, 'fingerprint_size': 2238, 'num_layers': 2}",0.004692527024266307
4,1,"[73, 519]",256,1,"[931, 919]",5,0.12037481994734509,0.4718756770005731,54,256,128,128,sgd,0.0320396315442561,0.005079994171823807,rmsprop,0.31364251244034047,0.17181844291409862,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},{},{},"{'dim': 319, 'fingerprint_size': 2238, 'num_layers': 3}",0.0014544080673263183
