attn_heads,attn_layers,lin_dims,latent_dim,output_dim,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,prot,ecfp8,weave,gconv,gnn,score
1,1,[566],256,1,"[374, 320]",5,0.4870671714604823,0.21132753528408207,18,256,128,128,sgd,0.019066309635928366,0.004695762862238595,adadelta,0.17864048187018258,0.0014422482177651355,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 385, 'update_pairs': False}",{},{},0.15110789998159402
8,1,"[524, 329]",256,1,"[888, 623]",5,0.12803259841305167,0.2889900152001851,49,256,128,128,adam,0.0071985663751058335,0.0008345478324421039,adagrad,0.0006827681387086189,0.000157476944267626,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 296, 'update_pairs': False}",{},{},0.10381818353339908
8,1,"[485, 486]",256,1,"[443, 245]",5,0.4748761297600028,0.46656394930927203,51,256,128,128,adagrad,0.00013931495708565826,0.04142810676071041,sgd,0.0015046583533251498,0.002774974634710404,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 187, 'update_pairs': False}",{},{},-0.15484929944840636
8,2,[554],256,1,"[846, 161]",5,0.24212414496657136,0.4767347795013691,27,256,128,128,adamax,0.12200566380769215,0.0016048778445942337,adamax,0.00040899621623327257,0.020631733668954533,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 68, 'update_pairs': False}",{},{},-0.2326697830926172
16,2,[1047],256,1,"[476, 468]",5,0.36789841472139206,0.4742156283224128,55,256,128,128,adam,0.012536971491294213,0.005940343723761342,adam,0.013729528906332032,0.4527391991788818,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 269, 'update_pairs': False}",{},{},-0.2807588097292986
2,1,"[470, 98]",256,1,"[692, 726]",5,0.2193981179012179,0.2784538024344425,17,256,128,128,sgd,0.00753275956781982,0.00024248732453026716,rmsprop,0.0003005812401328972,0.012566013081250611,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 101, 'update_pairs': False}",{},{},-0.33856435197030477
16,2,[876],256,1,"[317, 765]",5,0.2016521612669396,0.11948775610787728,63,256,128,128,sgd,0.0014399467487309868,0.00010280078528055486,adadelta,0.8916581374772762,0.00174520901943098,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 64, 'update_pairs': False}",{},{},-0.49240069720159596
4,2,"[769, 854]",256,1,"[188, 591]",5,0.4460081007915935,0.4316587629468568,54,256,128,128,adam,0.00017257298262927562,0.048096354537337724,adagrad,0.048597775414579956,0.004437634363159825,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 153, 'update_pairs': False}",{},{},-0.5476954736014512
16,2,[639],256,1,"[682, 1007]",5,0.20439159184622277,0.19240616888503562,36,256,128,128,rmsprop,0.009380767542427013,0.014534564894374599,adamax,0.00015183885296158827,0.00036296477256797554,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 419, 'update_pairs': False}",{},{},-0.6247842745517705
1,2,"[505, 942]",256,1,"[458, 610]",5,0.3609195528254169,0.24450440808464843,38,256,128,128,adagrad,0.00032008073834525623,0.05765252742075124,adagrad,0.002604691874285496,0.11296195782949037,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 224, 'update_pairs': False}",{},{},-0.6736485283488329
