explain_mode,attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,ecfp8,weave,gconv,gnn,score
False,2,1,"[267, 637]",1,512,5,0.21132753528408207,128,128,128,sgd,0.019066309635928366,0.004695762862238595,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 22, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 194},{},-0.14546163881910124
False,4,1,"[301, 1105, 230]",1,512,5,0.46417935271724076,128,128,128,adagrad,0.01835050877999231,0.02855967566976138,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 48, 'pcnn_num_layers': 2}",{'dim': 1024},{},{'dim': 167},{},-0.20979711253420108
False,1,2,[518],1,256,5,0.1363414894446851,128,128,128,adamax,0.00022994333440817333,0.0029060752839152057,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 23, 'pcnn_num_layers': 2}",{'dim': 1024},{},{'dim': 222},{},-0.22619038575155645
False,4,2,"[769, 710]",1,256,5,0.13929056837802267,128,128,128,rmsprop,0.005945612503736071,0.0014568071842224236,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 22, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 331},{},-0.2270131842278928
False,4,1,"[2007, 546]",1,256,5,0.3611594154241431,128,128,128,rmsprop,0.004822118213025342,0.0032729835198168447,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 30, 'pcnn_num_layers': 4}",{'dim': 1024},{},{'dim': 98},{},-0.23909092856403397
False,2,2,"[171, 594, 644]",1,512,5,0.22024720705190537,128,128,128,adadelta,0.013303285067609227,0.6036923296458963,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 28, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 119},{},-0.29003425964233187
False,4,2,"[1158, 203, 1001]",1,512,5,0.1767824312949722,128,128,128,adam,0.010789222521646104,0.0006827681387086189,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 7, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 141},{},-0.2926754184604808
False,8,1,"[518, 392]",1,256,5,0.3453322412516464,256,128,128,adam,0.12102409322818745,0.003320810903354181,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 14, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 504},{},-0.2937147394130674
False,2,2,"[363, 136]",1,256,5,0.18676140415534437,256,128,128,adam,0.03426348203672712,0.013062464635409745,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 21, 'pcnn_num_layers': 4}",{'dim': 1024},{},{'dim': 272},{},-0.30584283215812885
False,8,1,[537],1,256,5,0.2872424259060742,256,128,128,adam,0.03155657504614344,0.01290419366801118,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 32, 'pcnn_num_layers': 2}",{'dim': 1024},{},{'dim': 258},{},-0.3134637856528296
False,1,2,[1212],1,256,5,0.19048248781843946,256,128,128,sgd,0.00022236634023431746,0.0050664079105505145,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 36, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 278},{},-0.3507999337687725
False,2,2,[921],1,256,5,0.3718782622749831,128,128,128,adam,0.006997868843071853,0.00039551581373878115,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 37, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 256},{},-0.3590398375000307
False,2,2,"[1850, 1619]",1,256,5,0.2048648020143506,256,128,128,adagrad,0.001764280147530092,0.0020990748903451355,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 17, 'pcnn_num_layers': 3}",{'dim': 1024},{},{'dim': 281},{},-0.36140958672540985
False,4,2,"[1892, 881]",1,512,5,0.26681042912098285,128,128,128,sgd,0.4773059274472839,0.0015535738150066246,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 48, 'pcnn_num_layers': 2}",{'dim': 1024},{},{'dim': 237},{},-0.36578574335671116
False,4,3,"[1609, 731, 547]",1,512,5,0.2885563275831616,128,128,128,adam,0.03546651084019974,0.00019122574477723744,"{'model_types': ['pcnn2d'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 35, 'pcnn_num_layers': 2}",{'dim': 1024},{},{'dim': 135},{},-0.3708448081691756
