explain_mode,attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,ecfp8,weave,gconv,gnn,score
False,2,1,[698],1,512,5,0.13948459660692863,128,128,128,adam,0.0012060596319349096,0.00022116669757774333,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 37, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 95, 'fingerprint_size': 2238, 'num_layers': 3}",0.25889285939084594
False,2,1,"[1159, 938]",1,512,5,0.3592398659267797,128,128,128,adagrad,0.0003142982713149064,0.005348920437462195,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 27, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 222, 'fingerprint_size': 2238, 'num_layers': 3}",0.2421534232266211
False,1,1,"[1618, 1934]",1,512,5,0.49136765988587106,256,128,128,adadelta,0.00029517160835555424,0.1350748104116592,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 6, 'pcnn_num_layers': 1}",{'dim': 1024},{},{},"{'dim': 171, 'fingerprint_size': 2238, 'num_layers': 2}",0.2395154103270894
False,4,1,"[346, 1618]",1,256,5,0.3496119945909414,256,128,128,adam,0.006088888542581647,0.0007735674550394091,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 8, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 107, 'fingerprint_size': 2238, 'num_layers': 4}",0.1484893261330543
False,1,1,"[914, 972]",1,512,5,0.417516860332353,256,128,128,adam,0.010572611396673667,0.0006067514576069875,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 36, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 166, 'fingerprint_size': 2238, 'num_layers': 1}",0.07705332652313651
False,4,2,"[1611, 1395]",1,256,5,0.3528708746882405,128,128,128,adagrad,0.0007672850298224285,0.004217995995256102,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 37, 'pcnn_num_layers': 1}",{'dim': 1024},{},{},"{'dim': 307, 'fingerprint_size': 2238, 'num_layers': 2}",-0.11628630434437622
False,2,1,"[893, 794]",1,256,5,0.38695664050312406,256,128,128,adadelta,0.10174003415210857,0.005143402722025212,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 24, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 133, 'fingerprint_size': 2238, 'num_layers': 4}",-0.14320085953559158
False,1,1,"[272, 709]",1,512,5,0.26854410858088107,128,128,128,adadelta,0.0019598019233594893,0.0019168540339186354,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 13, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 183, 'fingerprint_size': 2238, 'num_layers': 2}",-0.18320157064523268
False,2,3,"[1410, 194, 1306]",1,256,5,0.22467145894105467,128,128,128,rmsprop,0.0009741052551808799,0.0001504928305977083,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 13, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 273, 'fingerprint_size': 2238, 'num_layers': 3}",-0.27343414219174955
False,8,2,"[228, 291]",1,256,5,0.12429635848905543,128,128,128,adadelta,0.00046655808733556565,0.6539122991827094,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 8, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 71, 'fingerprint_size': 2238, 'num_layers': 4}",-0.2803783230575547
False,2,1,"[118, 1628, 968]",1,512,5,0.2174421680507479,128,128,128,adadelta,0.6834783048763978,0.12358665280818713,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 37, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 344, 'fingerprint_size': 2238, 'num_layers': 3}",-0.28951266483037186
False,1,1,"[1440, 1079]",1,256,5,0.4698922664141847,256,128,128,adamax,0.31096669736277405,0.015692122046241954,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 49, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 314, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3099232905541419
False,4,1,[1097],1,256,5,0.4751309853090404,128,128,128,adadelta,0.7426384154724136,0.0476844592897128,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 8, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 283, 'fingerprint_size': 2238, 'num_layers': 3}",-0.32825947613123685
False,2,1,"[360, 1493]",1,256,5,0.11886131181785992,256,128,128,sgd,0.02064322891274969,0.0004804204748259172,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 7, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 165, 'fingerprint_size': 2238, 'num_layers': 3}",-0.34018316265952264
False,1,2,[1072],1,512,5,0.1689113408919577,128,128,128,sgd,0.010945638802254014,0.000256177468757563,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 18, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 498, 'fingerprint_size': 2238, 'num_layers': 2}",-0.3602227700162095
False,4,3,"[502, 2036, 965]",1,256,5,0.18127753571611843,128,128,128,adadelta,0.0006066501875294164,0.00815389768879467,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 19, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 383, 'fingerprint_size': 2238, 'num_layers': 3}",-0.3889966703961786
False,4,3,[594],1,256,5,0.1730811180798496,128,128,128,adagrad,0.6036923296458963,0.011337337637089996,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 35, 'pcnn_num_layers': 1}",{'dim': 1024},{},{},"{'dim': 213, 'fingerprint_size': 2238, 'num_layers': 2}",-0.48191001619873675
False,1,1,[1281],1,512,5,0.2521244146309629,128,128,128,adamax,0.8464503514551701,0.23575729622466476,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 48, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 302, 'fingerprint_size': 2238, 'num_layers': 1}",-0.4854430752834406
False,8,2,"[1578, 771]",1,512,5,0.10466767747235745,128,128,128,sgd,0.14054192503602786,0.0001804136194320147,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 21, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 234, 'fingerprint_size': 2238, 'num_layers': 3}",-0.5252987312745546
False,2,1,"[1172, 625, 1208]",1,512,5,0.22081320346073177,128,128,128,sgd,0.08747656117374206,0.00010579463947315373,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 6, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 342, 'fingerprint_size': 2238, 'num_layers': 2}",-0.5255985626086488
False,2,2,"[917, 1238]",1,256,5,0.14641162707336688,128,128,128,adam,0.0008895916697500797,0.017856862397669728,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 49, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 158, 'fingerprint_size': 2238, 'num_layers': 3}",-0.5966032723228276
False,1,1,"[1684, 902]",1,512,5,0.26077004528842773,256,128,128,rmsprop,0.0003855659884711411,0.06398993314856623,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 23, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 74, 'fingerprint_size': 2238, 'num_layers': 2}",-171.74861151220907
False,8,3,"[879, 1170, 1854]",1,512,5,0.1798792438775706,128,128,128,adamax,0.3246575467319433,0.0024447542809002687,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 31, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 477, 'fingerprint_size': 2238, 'num_layers': 2}",-10000.0
False,4,2,"[879, 700]",1,512,5,0.3774758425940189,256,128,128,adagrad,0.025382083995950374,0.0018236193236985786,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 13, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 91, 'fingerprint_size': 2238, 'num_layers': 3}",-10000.0
False,4,3,"[1016, 627]",1,256,5,0.2506562835656386,256,128,128,adagrad,0.42982466487562515,0.03767980974103524,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 8, 'pcnn_num_layers': 3}",{'dim': 1024},{},{},"{'dim': 508, 'fingerprint_size': 2238, 'num_layers': 2}",-10000.0
False,8,2,"[709, 1285, 1778]",1,512,5,0.47397469440332796,256,128,128,adagrad,0.6535496795691167,0.018297382290843222,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 11, 'pcnn_num_layers': 4}",{'dim': 1024},{},{},"{'dim': 487, 'fingerprint_size': 2238, 'num_layers': 4}",-10000.0
False,16,2,"[1714, 1368]",1,256,5,0.3693179017795457,128,128,128,rmsprop,0.00018603292698848446,0.006715836063160645,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 6, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 98, 'fingerprint_size': 2238, 'num_layers': 1}",-10000.0
False,8,3,"[453, 1912]",1,512,5,0.42956534844619954,128,128,128,adagrad,0.020869204789983768,0.2415148634218111,"{'model_types': ['pcnn2d', 'psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421, 'embedding_dim': 7, 'pcnn_num_layers': 2}",{'dim': 1024},{},{},"{'dim': 179, 'fingerprint_size': 2238, 'num_layers': 2}",-10000.0
