explain_mode,attn_heads,attn_layers,lin_dims,output_dim,latent_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,ecfp8,weave,gconv,gnn,score
False,1,1,[2048],1,256,5,0.5,256,128,128,adamax,0.0001,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 64, 'update_pairs': False}",{},{},0.17404715414356936
False,1,1,"[710, 78, 2023]",1,256,5,0.10643150907760131,128,128,128,adagrad,0.00041564276810312914,0.00019018186983036012,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 411, 'update_pairs': False}",{},{},0.1632926767476252
False,1,1,"[123, 1816, 1137]",1,256,5,0.4568543488007525,128,128,128,adagrad,0.04066263594599479,0.002786403974001894,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 320, 'update_pairs': False}",{},{},0.10976624085330222
False,1,2,[850],1,256,5,0.215487133082244,128,128,128,rmsprop,0.0012980019737052746,0.0008599834489091449,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 105, 'update_pairs': False}",{},{},0.08955762215892357
False,2,2,"[1742, 132]",1,256,5,0.2394139403783221,128,128,128,adam,0.005916064787363804,0.00026261151963188244,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 210, 'update_pairs': False}",{},{},0.07135503581662876
False,2,2,"[999, 993, 1680]",1,256,5,0.3499089861480462,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 291, 'update_pairs': False}",{},{},0.06346335257154942
False,1,1,[2020],1,256,5,0.48243080477597744,128,128,128,adagrad,0.00011934344361369507,0.00039048482141523756,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 454, 'update_pairs': False}",{},{},0.04814415370670322
False,16,1,"[1021, 1800]",1,256,5,0.21685698921343846,256,128,128,adam,0.0005380358086027842,0.005766517537326306,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 302, 'update_pairs': False}",{},{},-0.013661763756978754
False,1,1,[2048],1,512,5,0.5,128,128,128,adadelta,0.0001,1.0,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 512, 'update_pairs': False}",{},{},-0.03505683293078059
False,1,2,[955],1,512,5,0.49364526085800053,256,128,128,adadelta,0.01694349703930447,0.4068486309460976,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 463, 'update_pairs': False}",{},{},-0.03740786243233409
False,1,1,[64],1,256,5,0.5,256,128,128,adam,1.0,0.0001,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 512, 'update_pairs': False}",{},{},-0.03972538332326926
False,1,2,"[481, 748]",1,256,5,0.1680628557078052,256,128,128,adam,0.008378829671993602,0.00021870008774363907,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 454, 'update_pairs': False}",{},{},-0.04445254548416931
False,1,1,[669],1,256,5,0.3331718239978262,128,128,128,adagrad,0.6726390033226833,0.00012973755658386723,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 72, 'update_pairs': False}",{},{},-0.05920871180591114
False,8,2,"[465, 440]",1,256,5,0.25680651700447776,128,128,128,adam,0.005833464431443402,0.00014868487698546496,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 280, 'update_pairs': False}",{},{},-0.18549715756833066
False,16,2,[1394],1,256,5,0.17902035919391251,128,128,128,sgd,0.13591202736469993,0.004468434188730549,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 79, 'update_pairs': False}",{},{},-0.2526868014374064
False,2,2,"[1944, 1937]",1,256,5,0.14443426799954834,256,128,128,adamax,0.5072840822086265,0.0014191830571638963,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 273, 'update_pairs': False}",{},{},-0.2633628332347527
False,8,2,"[1714, 1158]",1,256,5,0.3971059320348367,128,128,128,adadelta,0.0008345478324421039,0.010789222521646104,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 157, 'update_pairs': False}",{},{},-0.32044400955219693
False,16,3,"[941, 1152]",1,256,5,0.395041011559219,128,128,128,adagrad,0.045835128289308386,0.005769895844522138,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 70, 'update_pairs': False}",{},{},-0.3267526644087727
False,1,3,"[355, 1629, 1759]",1,256,5,0.4803848366391691,128,128,128,adagrad,0.04078011241348626,0.00274278173641141,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 507, 'update_pairs': False}",{},{},-0.3342862246523549
False,1,1,"[508, 1824]",1,256,5,0.3001981636973639,256,128,128,adam,0.0046018021449868675,0.008815497843064115,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 287, 'update_pairs': False}",{},{},-0.33685263952260025
False,8,2,"[709, 1285, 1778]",1,512,5,0.47397469440332796,256,128,128,adagrad,0.6535496795691167,0.018297382290843222,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 121, 'update_pairs': False}",{},{},-0.3520641104308339
False,1,2,"[1806, 753, 1226]",1,512,5,0.4686736493020037,128,128,128,adagrad,0.006571149084113903,0.002002292529664388,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 413, 'update_pairs': False}",{},{},-0.3544372048487644
False,16,2,"[488, 1867]",1,512,5,0.2464876097359275,256,128,128,sgd,0.008102062854613684,0.0030953820368300766,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 491, 'update_pairs': False}",{},{},-0.35696481445230277
False,8,1,"[1349, 766]",1,256,5,0.40111534127024184,256,128,128,sgd,0.00982734671515759,0.00019731860916633541,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 417, 'update_pairs': False}",{},{},-0.37613003268153744
False,16,2,"[850, 1330]",1,256,5,0.298088528226652,128,128,128,adadelta,0.052333842463823596,0.0020155409168595415,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 152, 'update_pairs': False}",{},{},-0.3905691309101343
False,1,3,[2032],1,256,5,0.34758038509298916,128,128,128,adagrad,0.00019050805381182754,0.0002620226850938953,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 238, 'update_pairs': False}",{},{},-0.39681206025767185
False,8,2,[1318],1,256,5,0.2625106163066103,256,128,128,sgd,0.014747891931287593,0.00082187023186876,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 138, 'update_pairs': False}",{},{},-0.39813439562976527
False,1,2,"[1243, 150, 302]",1,512,5,0.291025509654946,128,128,128,rmsprop,0.00967041846339172,0.006033150001902064,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 81, 'update_pairs': False}",{},{},-0.43505951262871534
False,4,1,"[487, 1994, 315]",1,512,5,0.49616141259961655,128,128,128,adam,0.34421110744251787,0.1660231440929396,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 302, 'update_pairs': False}",{},{},-0.46189975272603234
False,1,2,[1830],1,256,5,0.10718646056083686,128,128,128,adagrad,0.8059888039625319,0.00017327883208318755,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 221, 'update_pairs': False}",{},{},-0.46426103347060554
False,4,2,[1427],1,256,5,0.32797424073208736,128,128,128,adam,0.003139265556292839,0.00792237901126721,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 176, 'update_pairs': False}",{},{},-0.46684630705812574
False,16,3,"[1898, 1956]",1,512,5,0.145718545408227,128,128,128,adadelta,0.05731197761723159,0.0006445208898723666,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 414, 'update_pairs': False}",{},{},-0.47309623007357127
False,8,2,"[949, 505]",1,256,5,0.1384689041781847,256,128,128,sgd,0.012566013081250611,0.00021601903327014753,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 475, 'update_pairs': False}",{},{},-0.4786085827073364
False,1,1,"[1708, 1811, 284]",1,256,5,0.19733358605915136,128,128,128,adagrad,0.16252728652789514,0.5859113406253824,"{'model_types': ['psc'], 'vocab_size': 9048, 'window': 11, 'psc_dim': 8421}",{'dim': 1024},"{'dim': 143, 'update_pairs': False}",{},{},-0.49236323061071907
