prot_dim,fp_dim,gconv_dim,hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,optimizer__sgd__momentum,score
8421,1024,256,"[5000, 2365, 4010, 683]",5,0.01,128,512,512,adagrad,0.0015941869555157072,0.00026862820936991103,0.00010003636217009775,0.3582107321976097
8421,1024,256,"[2238, 1187, 4675, 3914]",5,0.18123309065778845,256,512,512,adadelta,0.012842883620411725,0.020869204789983768,0.2415148634218111,0.3317983120576804
8421,1024,256,"[1260, 256, 1863, 3115]",5,0.01,256,512,512,adagrad,0.00630619679281486,0.00025363870540637197,0.00038546233631914234,0.32676848691107596
8421,1024,128,"[315, 2354, 2543]",5,0.31181441756127387,256,512,512,adamax,0.003300720797498895,0.001342889773801428,0.00011541218384996101,0.3103700540943174
8421,1024,256,"[4740, 2693, 3451]",5,0.04626755316194812,128,512,512,adagrad,0.04370014128775638,0.001343763988543764,0.000385786950485228,0.2945550507971209
8421,1024,256,"[919, 2271, 1114]",5,0.05547099622540933,256,512,512,adadelta,0.00024152112981809287,0.002777988562035043,0.00021766638302662093,0.291485807804675
8421,1024,128,"[4733, 4814, 4080, 3339]",5,0.04050560307235341,256,512,512,adagrad,0.3932515794494235,0.0004575747309859833,0.04933771339290254,0.2910484086155027
8421,1024,128,"[5000, 256, 4566, 5000]",5,0.01,256,512,512,adagrad,1.0,0.0001,0.0001,0.27572943806855593
8421,1024,256,"[2683, 1865]",5,0.046742669189204625,128,512,512,adam,0.002245937940087606,0.00028037696870821096,0.34294256658059896,0.27169051774895436
8421,1024,128,"[907, 256, 256, 5000]",5,0.01,256,512,512,adadelta,0.029279662500478552,0.0032732217307778555,0.0001,0.26979612665003005
8421,1024,512,"[2088, 1028, 1486, 972]",5,0.27456824527693624,256,512,512,adadelta,0.17139014860546842,0.017513389875870998,0.03911998316929326,0.2513900799086263
8421,1024,512,"[3922, 981]",5,0.26186957536712385,128,512,512,adamax,0.007405778739206015,0.0011912535422153592,0.21221220406342942,0.24786033274092695
8421,1024,512,[5000],5,0.01,128,512,512,adadelta,0.0007903291585548563,0.0030266465506980284,0.00015031423981754914,0.2448779906939591
8421,1024,512,"[4192, 1551, 537]",5,0.15350800817657229,256,512,512,adadelta,0.0006168841218164037,0.0014405175781017213,0.0003702376169277349,0.23938939881342666
8421,1024,256,"[1800, 3956]",5,0.019030916028191482,256,512,512,sgd,0.015943924636865527,0.0007672850298224285,0.004217995995256102,0.23113580782443197
8421,1024,128,"[256, 256, 256, 5000]",5,0.01,256,512,512,adadelta,1.0,0.02046438535625496,0.0030854967074266993,0.23111697034756312
8421,1024,512,"[2630, 2457, 2957]",5,0.21438146313440992,128,512,512,adamax,0.08293326424486247,0.00020664903142147013,0.1887491658151394,0.2273941274290312
