prot_dim,fp_dim,gconv_dim,hdims,disc_hdims,kaiming_constant,weighted_loss,dprob,neigh_dist,tr_batch_size,val_batch_size,test_batch_size,optimizer_gen,optimizer_gen__global__weight_decay,optimizer_gen__global__lr,optimizer_disc,optimizer_disc__global__weight_decay,optimizer_disc__global__lr,score
8421,1024,512,"[1686, 3922, 981]",[1447],5,0.7881333132164487,0.5206534148323471,38,256,128,128,adagrad,0.00019068915055028382,0.007760686713229159,adamax,0.0005859010994270156,0.0071985663751058335,0.3638590855384737
8421,1024,128,"[1245, 490, 2717]",[304],5,0.19192170928437374,0.35984604943504894,34,256,128,128,adam,0.0008599834489091449,0.00023239445781642333,adagrad,0.004695762862238595,0.0029605538337091008,0.32562668791210175
8421,1024,512,"[3103, 1233]",[1438],5,0.6245532652840164,0.21242937220158742,76,128,128,128,adadelta,0.0008327850428057989,0.2511967567358502,adadelta,0.00011290628722399779,0.4507857912344045,0.3235985400413244
8421,1024,128,"[2047, 4129]","[864, 1757]",5,0.9337945558117393,0.23187221131509106,91,128,128,128,adamax,0.00012165368823983387,0.0025777926276072845,adadelta,0.3156919914595414,0.0001641508505759989,0.26826127390169124
8421,1024,256,[1798],[755],5,0.38858253470774695,0.2531414253425617,93,128,128,128,adadelta,0.00021870008774363907,0.3005962257088426,sgd,0.027650228959424032,0.001004797631866298,0.25481164270933815
8421,1024,512,"[2347, 4092, 2917]",[1312],5,0.4888598810563235,0.545699188509967,56,128,128,128,adamax,0.0020155409168595415,0.0006111818152459586,adadelta,0.00039551581373878115,0.07592451832934614,0.23203560631799752
8421,1024,256,"[2183, 3581]",[414],5,0.17247822179938677,0.6519975428162044,84,128,128,128,adamax,0.003320810903354181,0.0006962245241403459,adamax,0.8464503514551701,0.23575729622466476,0.22102496948325318
8421,1024,128,[1224],[1993],5,0.9291304405955937,0.20637691638087036,70,128,128,128,rmsprop,0.0022000760209617445,0.0002907486275813502,adam,0.00019123995041210677,0.10009788595352975,0.18890094341780753
8421,1024,256,[1197],[1972],5,0.7042166236696306,0.6712831525083556,64,128,128,128,adagrad,0.0021831604118754035,0.000752824093934894,rmsprop,0.47122257557535874,0.009514795672709155,0.18543264003493803
8421,1024,128,[1387],[1648],5,0.6622952188331039,0.5749144462864956,79,128,128,128,adadelta,0.010666118960386956,0.003957542585107472,adam,0.48445489246565904,0.004439993129381705,0.11972896790962535
8421,1024,512,"[4122, 1333, 3971, 664]","[828, 978]",5,0.1738156628616747,0.5826564188329235,109,128,128,128,adagrad,0.0007096481963179583,0.035817368744328816,adam,0.0024502923159602035,0.07047088926856514,0.11096918885452992
8421,1024,256,"[4162, 1322, 3607]","[420, 1947]",5,0.7958975968076412,0.38124360740245256,76,128,128,128,adadelta,0.0534705383153413,0.0034054246133971007,adagrad,0.11295297887381087,0.00018780024756276191,0.10789749963932498
8421,1024,128,"[3465, 1682]","[1896, 1076]",5,0.7062141462137885,0.2095368431945059,46,128,128,128,adagrad,0.04370014128775638,0.001343763988543764,sgd,0.0002852602777726091,0.04582751829549663,0.04922016736311696
8421,1024,256,"[4068, 680]","[243, 718]",5,0.8790597198961384,0.32367721717019704,67,128,128,128,sgd,0.13512528284574513,0.00040427543802319405,adam,0.02226339785487505,0.030524039794592395,0.03054357881236513
8421,1024,256,"[382, 4788, 4455, 660]","[1637, 1841]",5,0.19129425287237495,0.12115873668037594,33,128,128,128,adam,0.03552460533369149,0.0011858071224661326,rmsprop,0.5233719837021714,0.0015224854461916024,-0.09706061798104229
