comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
ecfp8,"[2412, 1800, 3956]",1,5,0.04832736005785588,128,128,128,adagrad,0.00012570237653930527,0.015943924636865527,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 15, 'pcnn_num_layers': 2}","{'dim': 378, 'update_pairs': False}",{'dim': 123},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 166}",-0.24557728318959757
ecfp8,[256],1,5,0.06191734574537605,256,128,128,sgd,0.0012744848148904973,0.0033290011237308605,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 471}",-0.25469708712720285
ecfp8,[4453],1,5,0.17609762375365,256,128,128,sgd,0.004464742717388429,0.000269878063685793,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 30, 'pcnn_num_layers': 1}","{'dim': 116, 'update_pairs': False}",{'dim': 232},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 259}",-0.2547170475269613
ecfp8,"[2492, 2477, 4121, 1402]",1,5,0.17764170412981137,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 193, 'update_pairs': False}",{'dim': 477},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 158}",-0.25558672617586886
ecfp8,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.2555964234296748
ecfp8,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 123}",-0.25559815978603406
ecfp8,"[2031, 2508]",1,5,0.4913705952247156,256,128,128,adadelta,0.015629620960101,0.03210195673454174,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 27, 'pcnn_num_layers': 3}","{'dim': 269, 'update_pairs': False}",{'dim': 340},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 261}",-0.25575002998215957
ecfp8,[1430],1,5,0.014999755944308048,256,128,128,adadelta,0.0006934285165810099,0.002388894805764123,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 20, 'pcnn_num_layers': 2}","{'dim': 140, 'update_pairs': False}",{'dim': 384},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 279}",-0.2558386591899942
ecfp8,"[2393, 4331, 2153, 1920]",1,5,0.21203890256447644,256,128,128,adadelta,0.051275277551165704,0.0937355276915047,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 40, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 184}",-0.25593440235131176
ecfp8,"[4351, 2238, 1187]",1,5,0.3483330154520039,256,128,128,adamax,0.0027729246890233436,0.012842883620411725,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 4}","{'dim': 79, 'update_pairs': False}",{'dim': 259},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 220}",-0.2559543771892302
ecfp8,"[2234, 919, 729, 4619]",1,5,0.03941540073380739,256,128,128,adadelta,0.003509167491181112,0.44428098829015705,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 36, 'pcnn_num_layers': 3}","{'dim': 375, 'update_pairs': False}",{'dim': 482},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 137}",-0.2568483081708079
ecfp8,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 189}",-0.2569160125451934
ecfp8,"[1849, 2742, 450]",1,5,0.20043091519469028,256,128,128,adagrad,0.012857828998801127,0.017526774019619308,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 6, 'pcnn_num_layers': 2}","{'dim': 397, 'update_pairs': False}",{'dim': 373},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 482}",-0.25726801329006677
ecfp8,"[3514, 2670, 2791, 318]",1,5,0.17128466587908792,256,128,128,adadelta,0.03520468679833415,0.018273973563866733,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 11, 'pcnn_num_layers': 3}","{'dim': 304, 'update_pairs': False}",{'dim': 447},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 271}",-0.2573601089461691
ecfp8,"[2594, 4510, 905]",1,5,0.01189380392763445,128,128,128,adadelta,0.000611642932192664,0.00022467227919472816,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 36, 'pcnn_num_layers': 3}","{'dim': 245, 'update_pairs': False}",{'dim': 378},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 88}",-0.2576005505468148
