comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
ecfp8,"[5000, 5000, 256, 256]",1,5,0.01,256,128,128,rmsprop,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 153},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 64}",0.36878489863597447
ecfp8,"[5000, 3018, 256, 256]",1,5,0.01,256,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 383},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 64}",0.36823649398927827
ecfp8,"[5000, 256]",1,5,0.020300426142004807,256,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 165, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 64}",0.3516517333778785
ecfp8,"[765, 2675]",1,5,0.02907481292488022,256,128,128,adam,0.0008599834489091449,0.00023239445781642333,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 251, 'update_pairs': False}",{'dim': 229},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 194}",0.3425243085087102
ecfp8,"[4233, 2993]",1,5,0.05927012634034355,256,128,128,adagrad,0.000389623678551735,0.0005294834549935305,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 214, 'update_pairs': False}",{'dim': 140},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 261}",0.3364210682926919
ecfp8,"[3442, 2210, 1193]",1,5,0.019241559628256095,256,128,128,adadelta,0.00013698885785105936,0.03134151212422868,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 198, 'update_pairs': False}",{'dim': 264},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 97}",0.3356458529504904
ecfp8,[5000],1,5,0.01,256,128,128,adam,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 346, 'update_pairs': False}",{'dim': 368},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 64}",0.3193781237093713
ecfp8,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",0.3185847289655219
ecfp8,"[1558, 2962]",1,5,0.019641459988636995,128,128,128,adagrad,0.00017989528186110478,0.008262497464682642,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 126, 'update_pairs': False}",{'dim': 372},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 470}",0.3101759258443342
ecfp8,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",0.3100520937831713
ecfp8,"[3173, 294]",1,5,0.09018428980184794,256,128,128,adamax,0.0007184562044735228,0.0018184592733194612,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 355, 'update_pairs': False}",{'dim': 91},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 252}",0.3092659800461032
ecfp8,"[703, 4641]",1,5,0.02215950088183188,256,128,128,adamax,0.05337980621637318,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 64, 'update_pairs': False}",{'dim': 403},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 171}",0.3084614554951731
ecfp8,[5000],1,5,0.05181753664468844,256,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 373, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 64}",0.2973633937747737
ecfp8,"[1891, 1789]",1,5,0.2691111240974134,128,128,128,adadelta,0.00021870008774363907,0.3005962257088426,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 337, 'update_pairs': False}",{'dim': 176},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 96}",0.27256258526472343
ecfp8,"[4257, 1800]",1,5,0.0848800023644985,128,128,128,adadelta,0.008540645153862098,0.011900603937839274,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 422, 'update_pairs': False}",{'dim': 330},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 221}",0.2716634128257223
