comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
ecfp8,"[2864, 1190]",1,5,0.1582365355313697,256,128,128,adam,0.00024114817592194815,0.000734006400563659,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 43, 'pcnn_num_layers': 3}","{'dim': 477, 'update_pairs': False}",{'dim': 473},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 236}",-0.09415337489477213
ecfp8,"[2412, 1800, 3956]",1,5,0.04832736005785588,128,128,128,adagrad,0.00012570237653930527,0.015943924636865527,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 15, 'pcnn_num_layers': 2}","{'dim': 378, 'update_pairs': False}",{'dim': 123},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 166}",-0.10855752022014171
ecfp8,"[1631, 4863]",1,5,0.35787492881037175,128,128,128,adamax,0.4708260852856851,0.0006869778801743414,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 499, 'update_pairs': False}",{'dim': 137},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 453}",-0.1785276798282339
ecfp8,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 123}",-0.197978980673851
ecfp8,[4181],1,5,0.40131983013453804,256,128,128,adadelta,0.6858385925564299,0.009710348718311989,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 45, 'pcnn_num_layers': 2}","{'dim': 497, 'update_pairs': False}",{'dim': 498},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 284}",-0.20781057919028645
ecfp8,"[273, 3392, 3540]",1,5,0.039689600258642946,128,128,128,rmsprop,0.03899448816415801,0.00015043664204149386,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 231, 'update_pairs': False}",{'dim': 141},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 500}",-0.22945597873248386
ecfp8,"[690, 2960]",1,5,0.4226588244319318,128,128,128,adamax,0.028300386771202637,0.005100811831211928,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 39, 'pcnn_num_layers': 2}","{'dim': 256, 'update_pairs': False}",{'dim': 226},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 484}",-0.23104958037929832
ecfp8,"[3609, 1137, 4751, 1928]",1,5,0.35914222621134506,256,128,128,adagrad,0.0011742326954119892,0.011420477296961367,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 48, 'pcnn_num_layers': 4}","{'dim': 368, 'update_pairs': False}",{'dim': 118},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 465}",-0.23417096761771602
ecfp8,[3059],1,5,0.1576163886255556,256,128,128,adamax,0.0001,0.00013786814849945034,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 257, 'update_pairs': False}",{'dim': 189},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 64}",-0.24047245015888735
ecfp8,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 189}",-0.25062916790893564
ecfp8,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.2738946845138247
ecfp8,"[2492, 2477, 4121, 1402]",1,5,0.17764170412981137,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 193, 'update_pairs': False}",{'dim': 477},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 158}",-0.2859327972396003
ecfp8,[5000],1,5,0.01,128,128,128,sgd,0.0001,0.0001,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 512}",-0.28620993402310013
ecfp8,"[4406, 511]",1,5,0.22544479881926344,128,128,128,adam,0.005766517537326306,0.013303285067609227,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 48, 'pcnn_num_layers': 3}","{'dim': 366, 'update_pairs': False}",{'dim': 119},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 187}",-0.2902808246835381
ecfp8,[1430],1,5,0.014999755944308048,256,128,128,adadelta,0.0006934285165810099,0.002388894805764123,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 20, 'pcnn_num_layers': 2}","{'dim': 140, 'update_pairs': False}",{'dim': 384},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 279}",-0.29089159990302116
ecfp8,"[1193, 1630]",1,5,0.06684634760950331,128,128,128,adagrad,0.043907925732400044,0.0015630799020950954,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 25, 'pcnn_num_layers': 2}","{'dim': 97, 'update_pairs': False}",{'dim': 274},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 469}",-0.2949211321658612
ecfp8,"[4351, 2238, 1187]",1,5,0.3483330154520039,256,128,128,adamax,0.0027729246890233436,0.012842883620411725,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 4}","{'dim': 79, 'update_pairs': False}",{'dim': 259},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 220}",-0.2950773347361483
ecfp8,[1392],1,5,0.16752000072820908,256,128,128,adadelta,0.3078607616948601,0.5078711947636781,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 12, 'pcnn_num_layers': 3}","{'dim': 244, 'update_pairs': False}",{'dim': 431},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 222}",-0.30889655185598003
ecfp8,"[3424, 915]",1,5,0.07938200940537009,256,128,128,adadelta,0.02220109613406181,0.009921430080776722,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 35, 'pcnn_num_layers': 4}","{'dim': 324, 'update_pairs': False}",{'dim': 414},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 149}",-0.3138784906795909
ecfp8,"[2031, 2508]",1,5,0.4913705952247156,256,128,128,adadelta,0.015629620960101,0.03210195673454174,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 27, 'pcnn_num_layers': 3}","{'dim': 269, 'update_pairs': False}",{'dim': 340},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 261}",-0.3386754385289261
ecfp8,"[2234, 919, 729, 4619]",1,5,0.03941540073380739,256,128,128,adadelta,0.003509167491181112,0.44428098829015705,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 36, 'pcnn_num_layers': 3}","{'dim': 375, 'update_pairs': False}",{'dim': 482},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 137}",-0.3438123822936669
ecfp8,"[2621, 1274, 1179]",1,5,0.34136707325513943,256,128,128,adadelta,0.0026822873541322368,0.009662961763447542,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 13, 'pcnn_num_layers': 2}","{'dim': 102, 'update_pairs': False}",{'dim': 334},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 66}",-0.3450470074530573
ecfp8,"[256, 5000, 256, 5000]",1,5,1.0,256,128,128,adadelta,1.0,1.0,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 512}",-0.35940717373392145
ecfp8,[256],1,5,1.0,128,128,128,adam,1.0,1.0,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 64}",-0.36012870970329075
ecfp8,[5000],1,5,0.032702143645748444,256,128,128,sgd,0.00014347472324375345,0.0001,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 38, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 92},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 64}",-0.3656952447544155
ecfp8,[1356],1,5,0.021259805080856464,256,128,128,adadelta,0.016128448426511777,0.009877779240906576,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 13, 'pcnn_num_layers': 2}","{'dim': 249, 'update_pairs': False}",{'dim': 425},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 307}",-0.3736805711523
ecfp8,"[1188, 2444]",1,5,0.14752770410991597,128,128,128,sgd,0.015603382075251132,0.00032071477642638986,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 2}","{'dim': 87, 'update_pairs': False}",{'dim': 275},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 428}",-0.3737870561412019
ecfp8,"[3966, 3180, 427, 3360]",1,5,0.018177711977663255,128,128,128,adadelta,0.0012548176099154628,0.00019764051372167182,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 12, 'pcnn_num_layers': 1}","{'dim': 485, 'update_pairs': False}",{'dim': 230},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 396}",-0.4094657629286482
ecfp8,"[1847, 1762, 649]",1,5,0.06022605302664802,128,128,128,sgd,0.0017994252073048008,0.006356801927306148,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 13, 'pcnn_num_layers': 4}","{'dim': 95, 'update_pairs': False}",{'dim': 479},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 457}",-0.419985603417446
ecfp8,[379],1,5,0.017159324749799643,256,128,128,rmsprop,0.09703459498497519,0.009600463477892882,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 10, 'pcnn_num_layers': 3}","{'dim': 79, 'update_pairs': False}",{'dim': 112},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 208}",-0.434281833967498
