comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gconv,[1430],1,5,0.014999755944308048,256,128,128,adadelta,0.0006934285165810099,0.002388894805764123,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 20, 'pcnn_num_layers': 2}","{'dim': 140, 'update_pairs': False}",{'dim': 384},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 279}",-0.2548234990876013
gconv,"[2492, 2477, 4121, 1402]",1,5,0.17764170412981137,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 193, 'update_pairs': False}",{'dim': 477},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 158}",-0.2557241198517427
gconv,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.25735143754772416
gconv,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 189}",-0.25839981205387064
gconv,"[256, 256]",1,5,0.01,128,128,128,adagrad,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 2}","{'dim': 373, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.25861272808960123
gconv,"[4696, 5000, 256]",1,5,0.01,256,128,128,rmsprop,0.006118207324774762,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 21, 'pcnn_num_layers': 1}","{'dim': 500, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 507}",-0.25943721227188654
gconv,"[1441, 3214, 3279, 2536]",1,5,0.02426950754175914,256,128,128,adagrad,0.02228364290557683,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 1}","{'dim': 178, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 264}",-0.25979673037110657
gconv,"[1188, 2444]",1,5,0.14752770410991597,128,128,128,sgd,0.015603382075251132,0.00032071477642638986,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 31, 'pcnn_num_layers': 2}","{'dim': 87, 'update_pairs': False}",{'dim': 275},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 428}",-0.26175073101095736
gconv,"[1486, 4704, 1110]",1,5,0.011930843352795357,128,128,128,adagrad,0.0068003151846861174,0.0003308185056655388,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 9, 'pcnn_num_layers': 4}","{'dim': 154, 'update_pairs': False}",{'dim': 487},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 99}",-0.2618476159442539
gconv,"[3483, 968, 4610, 1081]",1,5,0.024129023179185163,128,128,128,adagrad,0.00015047187556667537,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 33, 'pcnn_num_layers': 2}","{'dim': 430, 'update_pairs': False}",{'dim': 310},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 64}",-0.26274849821356316
gconv,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 123}",-0.2636890207081135
gconv,"[1686, 3922, 981]",1,5,0.01042355815906195,256,128,128,adadelta,0.11438531722862783,0.007405778739206015,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 17, 'pcnn_num_layers': 3}","{'dim': 311, 'update_pairs': False}",{'dim': 95},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 397}",-0.2637644026186873
