comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gconv,"[765, 2675]",1,5,0.02907481292488022,256,128,128,adam,0.0008599834489091449,0.00023239445781642333,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 251, 'update_pairs': False}",{'dim': 229},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 194}",0.3413197220874085
gconv,"[1622, 3333, 3920, 945]",1,5,0.01,128,128,128,adagrad,0.0001,0.0018542552843962667,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 484},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 456}",0.32498634734263737
gconv,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 246}",0.30425758115017454
gconv,"[265, 5000, 256]",1,5,0.01,256,128,128,adamax,0.0001,0.0025041987199074136,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 272, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 148}",0.2884026975012356
gconv,"[3442, 2210, 1193]",1,5,0.019241559628256095,256,128,128,adadelta,0.00013698885785105936,0.03134151212422868,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 198, 'update_pairs': False}",{'dim': 264},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 97}",0.2821189850347523
gconv,"[1558, 2962]",1,5,0.019641459988636995,128,128,128,adagrad,0.00017989528186110478,0.008262497464682642,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 126, 'update_pairs': False}",{'dim': 372},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 470}",0.2673368071926826
gconv,"[3282, 846]",1,5,0.06848027252526179,128,128,128,adamax,0.0020155409168595415,0.0006111818152459586,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 131, 'update_pairs': False}",{'dim': 387},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 256}",0.24131469763654095
gconv,"[256, 4172, 256]",1,5,0.01,128,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 240},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 232}",0.23029758377393109
gconv,"[4343, 4974]",1,5,0.11282370958095975,128,128,128,adagrad,0.00016214055943123098,0.0008943666272046821,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 480, 'update_pairs': False}",{'dim': 406},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 250}",0.2153807439740004
gconv,[5000],1,5,0.01,256,128,128,adam,0.0001,0.0012176003777023615,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 173}",0.17869198958763385
