comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
gnn,"[3734, 3117, 256]",1,5,0.010502157748917582,256,128,128,adagrad,0.006113227723825771,0.0004695734117479918,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 512}",0.2530128233454797
gnn,"[4840, 4969, 256]",1,5,0.01,256,128,128,adagrad,0.007061696683490439,0.0009320373234139943,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 203, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 512}",0.24526838068421375
gnn,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",0.12815494490566065
gnn,"[765, 2675]",1,5,0.02907481292488022,256,128,128,adam,0.0008599834489091449,0.00023239445781642333,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 251, 'update_pairs': False}",{'dim': 229},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 194}",0.10672729436951907
gnn,"[1325, 256, 3599, 256]",1,5,0.01,128,128,128,adagrad,0.007957269118403297,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 64, 'update_pairs': False}",{'dim': 472},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 512}",0.043728191040468545
gnn,"[1558, 2962]",1,5,0.019641459988636995,128,128,128,adagrad,0.00017989528186110478,0.008262497464682642,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 126, 'update_pairs': False}",{'dim': 372},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 470}",0.015544767909055929
gnn,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",0.00089228893149004
gnn,"[4343, 4974]",1,5,0.11282370958095975,128,128,128,adagrad,0.00016214055943123098,0.0008943666272046821,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 480, 'update_pairs': False}",{'dim': 406},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 250}",-0.01179663635268771
gnn,"[256, 429, 1818]",1,5,0.01,256,128,128,rmsprop,0.003081677878602593,0.0003599951857836487,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 195, 'update_pairs': False}",{'dim': 222},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 327}",-0.01527606295129778
gnn,"[256, 5000, 5000, 5000]",1,5,0.01,256,128,128,rmsprop,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 64}",-0.02409861648379643
