comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
weave,[5000],1,5,0.01,256,128,128,sgd,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.25538970387232196
weave,[5000],1,5,0.01,256,128,128,sgd,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.2566314233199706
weave,[5000],1,5,0.01,256,128,128,sgd,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.25702552789499084
weave,[2884],1,5,0.04145416916618026,256,128,128,adadelta,0.005342835559829912,0.0019659886060793504,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 2}","{'dim': 470, 'update_pairs': False}",{'dim': 325},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 107}",-0.2575646917524728
weave,[1430],1,5,0.014999755944308048,256,128,128,adadelta,0.0006934285165810099,0.002388894805764123,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 20, 'pcnn_num_layers': 2}","{'dim': 140, 'update_pairs': False}",{'dim': 384},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 279}",-0.257826133673781
weave,[5000],1,5,0.01,256,128,128,sgd,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.2579865961254475
weave,"[5000, 5000, 2619, 5000]",1,5,0.01,256,128,128,sgd,0.0001,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 1}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 512}",-0.2586278440990676
weave,"[256, 256]",1,5,0.01,128,128,128,adagrad,0.00028171017464605474,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 2}","{'dim': 97, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.2590850337464056
weave,"[256, 256]",1,5,0.01,128,128,128,sgd,0.002380854561733401,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 64, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.2662862251986761
weave,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.2668363928068091
weave,"[3966, 3180, 427, 3360]",1,5,0.018177711977663255,128,128,128,adadelta,0.0012548176099154628,0.00019764051372167182,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 12, 'pcnn_num_layers': 1}","{'dim': 485, 'update_pairs': False}",{'dim': 230},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 396}",-0.26709910778397855
weave,"[1193, 1630]",1,5,0.06684634760950331,128,128,128,adagrad,0.043907925732400044,0.0015630799020950954,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 25, 'pcnn_num_layers': 2}","{'dim': 97, 'update_pairs': False}",{'dim': 274},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 469}",-0.26907577676229394
weave,"[256, 5000]",1,5,0.01,128,128,128,sgd,1.0,0.0001,"{'model_type': 'pcnna', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.2716261673742799
