comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
weave,"[765, 2675]",1,5,0.02907481292488022,256,128,128,adam,0.0008599834489091449,0.00023239445781642333,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 251, 'update_pairs': False}",{'dim': 229},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 194}",0.21947020855329163
weave,"[5000, 4725, 2559]",1,5,0.01,256,128,128,adagrad,0.0001,0.0018432390811928244,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 223, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 366}",0.18783352644499243
weave,"[4628, 1051, 2730, 2412]",1,5,0.044746983469999266,256,128,128,adamax,0.0023355337301616437,0.00036217576487207546,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 75, 'update_pairs': False}",{'dim': 311},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 246}",0.18269241520396787
weave,"[3442, 2210, 1193]",1,5,0.019241559628256095,256,128,128,adadelta,0.00013698885785105936,0.03134151212422868,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 198, 'update_pairs': False}",{'dim': 264},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 97}",0.15344626335820186
weave,"[5000, 2741]",1,5,0.01,256,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 423},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 96}",0.13144212381804193
weave,"[5000, 256]",1,5,0.10944793301204768,256,128,128,adamax,0.0001,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 4, 'dim': 64}",0.0873318742680099
weave,"[3282, 846]",1,5,0.06848027252526179,128,128,128,adamax,0.0020155409168595415,0.0006111818152459586,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 2}","{'dim': 131, 'update_pairs': False}",{'dim': 387},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 256}",0.08131369763485771
weave,"[880, 2828, 1341]",1,5,0.017670074247002426,128,128,128,adagrad,0.038092393182337876,0.0005310470633936806,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 234, 'update_pairs': False}",{'dim': 158},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 504}",0.0761752868680026
weave,"[4343, 4974]",1,5,0.11282370958095975,128,128,128,adagrad,0.00016214055943123098,0.0008943666272046821,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 480, 'update_pairs': False}",{'dim': 406},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 250}",0.07001358559936743
weave,[5000],1,5,0.09241516591524898,128,128,128,adamax,0.01149955801963485,0.0001,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 64, 'update_pairs': False}",{'dim': 512},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 201}",-0.04971717560121162
weave,"[3007, 4268, 418]",1,5,0.03268887850483236,128,128,128,sgd,0.0009760590675656905,0.005916064787363804,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 210, 'update_pairs': False}",{'dim': 103},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 3, 'dim': 253}",-0.055903902223172874
weave,"[1891, 1789]",1,5,0.2691111240974134,128,128,128,adadelta,0.00021870008774363907,0.3005962257088426,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 1}","{'dim': 337, 'update_pairs': False}",{'dim': 176},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 2, 'dim': 96}",-0.074335209290287
weave,"[1558, 2962]",1,5,0.019641459988636995,128,128,128,adagrad,0.00017989528186110478,0.008262497464682642,"{'model_type': 'psc', 'vocab_size': 9048, 'window': 11, 'dim': 8421, 'pcnn_num_layers': 3}","{'dim': 126, 'update_pairs': False}",{'dim': 372},{'dim': 1024},"{'fingerprint_size': 2238, 'num_layers': 1, 'dim': 470}",-0.10761886459017331
