comp_view,hdims,output_dim,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,ecfp8,gnn,score
weave,[842],1,5,0.023044458409641148,256,128,128,adadelta,0.0006962245241403459,0.06697761884560131,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 49, 'pcnn_num_layers': 4}","{'dim': 497, 'update_pairs': False}",{'dim': 511},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 123}",-0.21454809537739097
weave,[4381],1,5,0.09996090372854678,128,128,128,adagrad,0.03718749249929942,0.00021265600912538922,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 24, 'pcnn_num_layers': 3}","{'dim': 253, 'update_pairs': False}",{'dim': 419},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 489}",-0.2623650980440309
weave,"[1946, 3744, 1214, 2016]",1,5,0.028605746976590202,256,128,128,adamax,0.00010041307128481036,0.0004057925984809952,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 45, 'pcnn_num_layers': 3}","{'dim': 361, 'update_pairs': False}",{'dim': 303},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 495}",-0.3198074814886219
weave,"[2492, 2477, 4121, 1402]",1,5,0.17764170412981137,256,128,128,adagrad,0.0011516170276579135,0.0053689847425329815,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 2}","{'dim': 193, 'update_pairs': False}",{'dim': 477},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 158}",-0.33575817977474837
weave,"[1107, 620]",1,5,0.12167835059590014,256,128,128,sgd,0.0030304159531952283,0.0013292890120293749,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 17, 'pcnn_num_layers': 1}","{'dim': 387, 'update_pairs': False}",{'dim': 448},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 412}",-0.35235701214031956
weave,"[1735, 634, 4083, 2188]",1,5,0.01948114972664063,128,128,128,adagrad,0.0032490254329580965,0.007200596885199375,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 46, 'pcnn_num_layers': 2}","{'dim': 108, 'update_pairs': False}",{'dim': 217},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 3, 'dim': 501}",-0.35245069332754164
weave,"[4460, 4953, 277, 761]",1,5,0.4046758024165342,128,128,128,adam,0.12020952033738745,0.005200735977609734,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 44, 'pcnn_num_layers': 4}","{'dim': 503, 'update_pairs': False}",{'dim': 166},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 480}",-0.35952628023366007
weave,"[256, 5000, 256, 256]",1,5,1.0,256,128,128,adam,0.0001,1.0,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 5, 'pcnn_num_layers': 1}","{'dim': 512, 'update_pairs': False}",{'dim': 64},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 1, 'dim': 512}",-0.361375250213369
weave,"[2459, 1349]",1,5,0.012548981802027844,256,128,128,adam,0.0038481602576623986,0.0002688197741045424,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 28, 'pcnn_num_layers': 1}","{'dim': 193, 'update_pairs': False}",{'dim': 168},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 4, 'dim': 189}",-0.3648552906489396
weave,"[5000, 256]",1,5,0.1541554227316655,128,128,128,adam,0.0001,0.0014314711673238504,"{'model_type': 'rnn', 'vocab_size': 9048, 'window': 11, 'dim': 50, 'pcnn_num_layers': 4}","{'dim': 64, 'update_pairs': False}",{'dim': 66},{'dim': 1024},"{'fingerprint_size': 0, 'num_layers': 2, 'dim': 64}",-0.3720603552906626
