latent_dim,siamese_hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,score
512,"[1205, 660]",5,0.44139203182247566,256,128,128,adam,0.4517100308903878,0.10024215203646224,"{'model_type': 'rnn', 'dim': 9, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 16}","{'dim': 50, 'update_pairs': False}",{'dim': 113},-0.3626350593309959
128,[1583],5,0.13638446310249083,128,128,128,adamax,0.0004541627138133442,0.249991180332307,"{'model_type': 'rnn', 'dim': 35, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 12}","{'dim': 50, 'update_pairs': False}",{'dim': 219},-0.36446906445181926
128,[1942],5,0.4969391202620599,128,128,128,adamax,0.5270747856359081,0.7697091346840513,"{'model_type': 'rnn', 'dim': 47, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 12}","{'dim': 50, 'update_pairs': False}",{'dim': 236},-0.40392792750545325
512,[1120],5,0.3237046123854455,128,128,128,adam,0.00012134198545349611,0.14340051353664335,"{'model_type': 'rnn', 'dim': 18, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 32}","{'dim': 50, 'update_pairs': False}",{'dim': 299},-0.4210543034763493
512,"[745, 137]",5,0.10856857846687147,128,128,128,adam,0.2024621179538794,0.03767830326848561,"{'model_type': 'rnn', 'dim': 45, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 379},-0.47575852983552186
512,"[433, 298]",5,0.44228100670973225,256,128,128,adam,0.00012463009261393345,0.09538634864470262,"{'model_type': 'rnn', 'dim': 17, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 46}","{'dim': 50, 'update_pairs': False}",{'dim': 185},-0.4949634598356168
512,[1790],5,0.13771697486884876,128,128,128,adamax,0.009794728149034499,0.2524693148046108,"{'model_type': 'rnn', 'dim': 43, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 201},-0.5345533578509369
128,"[527, 170]",5,0.16632681834254653,128,128,128,adagrad,0.21760170816005237,0.25731956172882825,"{'model_type': 'rnn', 'dim': 10, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 45}","{'dim': 50, 'update_pairs': False}",{'dim': 250},-0.7271380741453571
512,[1855],5,0.10796600939230908,128,128,128,adamax,0.0003853212903334445,0.7113322825357703,"{'model_type': 'rnn', 'dim': 35, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 26}","{'dim': 50, 'update_pairs': False}",{'dim': 131},-0.8838868888580024
512,[2001],5,0.1391395000183696,128,128,128,adamax,0.25034842452238326,0.16333305922838115,"{'model_type': 'rnn', 'dim': 38, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 185},-1.0492374032447862
64,"[205, 1538, 729]",5,0.3345347426812634,128,128,128,adam,0.580664535890817,0.3619178245205864,"{'model_type': 'rnn', 'dim': 38, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 41}","{'dim': 50, 'update_pairs': False}",{'dim': 134},-1.1445918939654558
128,"[1390, 824]",5,0.3592072747047632,128,128,128,adam,0.04448943204822667,0.15546593886117502,"{'model_type': 'rnn', 'dim': 35, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 18}","{'dim': 50, 'update_pairs': False}",{'dim': 281},-1.3192601556312824
128,"[122, 1159, 541, 1819]",5,0.2840953697608839,128,128,128,adam,0.1869433555634354,0.0172961523494627,"{'model_type': 'rnn', 'dim': 36, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 41}","{'dim': 50, 'update_pairs': False}",{'dim': 453},-1.361117747077509
64,"[449, 677, 1289, 171]",5,0.46180294949918854,128,128,128,rmsprop,0.006779295266815862,0.27392346852285393,"{'model_type': 'rnn', 'dim': 32, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 33}","{'dim': 50, 'update_pairs': False}",{'dim': 186},-1.8337470066558013
512,"[1353, 194, 1190]",5,0.468534130367917,128,128,128,adagrad,0.001580599926992095,0.002727554784942076,"{'model_type': 'rnn', 'dim': 19, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 23}","{'dim': 50, 'update_pairs': False}",{'dim': 391},-4.128748390882915
512,"[1045, 991]",5,0.4301537447562438,128,128,128,sgd,0.6893433040238398,0.0032315111040571716,"{'model_type': 'rnn', 'dim': 12, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 30}","{'dim': 50, 'update_pairs': False}",{'dim': 303},-4.44379165562092
512,"[1713, 146]",5,0.3478049558783355,128,128,128,sgd,0.00032084647373344013,0.0006497909807212656,"{'model_type': 'rnn', 'dim': 16, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 29}","{'dim': 50, 'update_pairs': False}",{'dim': 80},-4.8582609608403455
128,[1880],5,0.2495112455538984,128,128,128,adamax,0.002887975902320471,0.07199674105223454,"{'model_type': 'rnn', 'dim': 34, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 10}","{'dim': 50, 'update_pairs': False}",{'dim': 81},-5.129019012572696
512,"[1608, 1560, 104]",5,0.21128442163507816,128,128,128,rmsprop,0.10606259001266014,0.0009436864733941143,"{'model_type': 'rnn', 'dim': 45, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 30}","{'dim': 50, 'update_pairs': False}",{'dim': 97},-5.285313753478872
256,[775],5,0.15447266733010656,128,128,128,rmsprop,0.00031205054998241624,0.1760942879447255,"{'model_type': 'rnn', 'dim': 14, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 27}","{'dim': 50, 'update_pairs': False}",{'dim': 245},-7.196424082705978
128,"[2040, 469]",5,0.14118016264615857,128,128,128,adamax,0.021829430029531426,0.109766848859705,"{'model_type': 'rnn', 'dim': 30, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 413},-7.351014045998423
512,"[1388, 2037]",5,0.48627295294668726,128,128,128,adam,0.8268727301343848,0.25010449465003437,"{'model_type': 'rnn', 'dim': 32, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 44}","{'dim': 50, 'update_pairs': False}",{'dim': 127},-8.808205643495526
64,[979],5,0.3027171400913365,256,128,128,adagrad,0.0625342001719605,0.20706826991114924,"{'model_type': 'rnn', 'dim': 14, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 49}","{'dim': 50, 'update_pairs': False}",{'dim': 294},-8.82926334378063
512,[170],5,0.41625941512506603,128,128,128,sgd,0.01917046246745776,0.0010355440975795423,"{'model_type': 'rnn', 'dim': 8, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 28}","{'dim': 50, 'update_pairs': False}",{'dim': 481},-10.7548995395631
128,[1241],5,0.11390330706792297,128,128,128,adamax,0.00012194046075218589,0.08958163618973847,"{'model_type': 'rnn', 'dim': 43, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 26}","{'dim': 50, 'update_pairs': False}",{'dim': 97},-15.486935453084815
256,"[2044, 1134, 977, 1755]",5,0.2395606405170349,128,128,128,adagrad,0.846607565292792,0.10799909559830657,"{'model_type': 'rnn', 'dim': 9, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 23}","{'dim': 50, 'update_pairs': False}",{'dim': 510},-23.121826403335824
256,"[1375, 910, 1124, 426]",5,0.34442894963054954,128,128,128,adagrad,0.18673642689422693,0.00017021217352653569,"{'model_type': 'rnn', 'dim': 25, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 40}","{'dim': 50, 'update_pairs': False}",{'dim': 378},-23.881458057398493
512,"[1606, 120, 409]",5,0.13083459231931333,256,128,128,adamax,0.05937627855123394,0.011144318128310812,"{'model_type': 'rnn', 'dim': 26, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 200},-27.809384117337192
256,"[1886, 1132, 1887]",5,0.187146757553042,128,128,128,adagrad,0.0013535685699536345,0.05337918682681145,"{'model_type': 'rnn', 'dim': 31, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 14}","{'dim': 50, 'update_pairs': False}",{'dim': 91},-28.756095927181114
512,"[310, 1559]",5,0.47938491351582646,256,128,128,adam,0.8890065714928386,0.0009722375197683235,"{'model_type': 'rnn', 'dim': 8, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 37}","{'dim': 50, 'update_pairs': False}",{'dim': 289},-30.634467697515316
512,"[199, 1434, 1059, 265]",5,0.17390461489404324,128,128,128,adagrad,0.018332100923581077,0.0010641727491409922,"{'model_type': 'rnn', 'dim': 38, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 31}","{'dim': 50, 'update_pairs': False}",{'dim': 444},-32.34144152520632
